first_name,second_name,guid
Bastian,Schweinsteiger,264
Jesse,Lingard,265
Anthony,Martial,266
Henrikh,Mkhitaryan,267
Wayne,Rooney,268
James,Wilson,269
Marcus,Rashford,270
Zlatan,Ibrahimovic,271
Dimitrios,Konstantopoulos,272
Victor,Valdes,273
Daniel,Ayala,274
George,Friend,275
Dael,Fry,276
Ben,Gibson,277
Emilio,Nsue Lopez,278
Bernardo,Espinosa Zuniga,279
Albert,Adomah,280
Stewart,Downing,281
Adam,Clayton,282
Grant,Leadbitter,283
Adam,Reach,284
Adam,Forshaw,285
Carlos,De Pena,286
Julien,de Sart,287
Viktor,Fischer,288
Marten,de Roon,289
David,Nugent,290
Jordan,Rhodes,291
Cristhian,Stuani,292
Fraser,Forster,293
Paulo,Gazzaniga,294
Ryan,Bertrand,295
Jose,Fonte,296
Maya,Yoshida,297
Matt,Targett,298
Florin,Gardos,299
Cedric,Soares,300
Cuco,Martina,301
Virgil,van Dijk,302
Nathan,Redmond,303
Steven,Davis,304
James,Ward-Prowse,305
Harrison,Reed,306
Dusan,Tadic,307
Jordy,Clasie,308
Oriol,Romeu Vidal,309
Jay,Rodriguez,310
Pierre-Emile,Højbjerg,311
Shane,Long,312
Charlie,Austin,313
Shay,Given,314
Jack,Butland,315
Jakob,Haugaard,316
Ryan,Shawcross,317
Marc,Wilson,318
Geoff,Cameron,319
Erik,Pieters,320
Marc,Muniesa,321
Phil,Bardsley,322
Philipp,Wollscheid,323
Glen,Johnson,324
Dionatan do Nascimento,Teixeira,325
Stephen,Ireland,326
Charlie,Adam,327
Glenn,Whelan,328
Jonathan,Walters,329
Marko,Arnautovic,330
Ibrahim,Afellay,331
Xherdan,Shaqiri,332
Giannelli,Imbula,333
Bojan,Krkic,334
Peter,Crouch,335
Mame Biram,Diouf,336
Jose Luis,Mato Sanmartin,337
Vito,Mannone,338
Jordan,Pickford,339
Younes,Kaboul,340
John,O'Shea,341
Billy,Jones,342
Patrick,van Aanholt,343
Adam,Matthews,344
Lamine,Kone,345
Jan,Kirchhoff,346
Lee,Cattermole,347
Sebastian,Larsson,348
Jack,Rodwell,349
Jeremain,Lens,350
Wahbi,Khazri,351
Duncan,Watmore,352
Fabio,Borini,353
Jermain,Defoe,354
Lukasz,Fabianski,355
Kristoffer,Nordfeldt,356
Kyle,Naughton,357
Ashley,Williams,358
Neil,Taylor,359
Angel,Rangel,360
Jordi,Amat,361
Federico,Fernandez,362
Franck,Tabanou,363
Stephen,Kingsley,364
Mike,van der Hoorn,365
Jack,Cork,366
Gylfi,Sigurdsson,367
Wayne,Routledge,368
Leon,Britton,369
Jay,Fulton,370
Sung-yueng,Ki,371
Jefferson,Montero,372
Andre,Ayew,373
Leroy,Fer,374
Nathan,Dyer,375
Bafetimbi,Gomis,376
Marvin,Emnes,377
Modou,Barrow,378
Hugo,Lloris,379
Michel,Vorm,380
Toby,Alderweireld,381
Danny,Rose,382
Kyle,Walker,383
Jan,Vertonghen,384
Ben,Davies,385
Kieran,Trippier,386
Kevin,Wimmer,387
DeAndre,Yedlin,388
Eric,Dier,389
Mousa,Dembele,390
Nacer,Chadli,391
Erik,Lamela,392
Christian,Eriksen,393
Nabil,Bentaleb,394
Ryan,Mason,395
Tom,Carroll,396
Bamidele,Alli,397
Joshua,Onomah,398
Victor,Wanyama,399
