guid,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,year,now_cost,element_type
34,Tyrone,Mings,0,0,4,506,16,18.3,125.4,45.0,2,89,18.9,0,0,0,0.0,2016,,
35,Nathan,Aké,3,1,55,834,20,55.5,373.2,147.0,8,267,57.5,3,0,1,6.1,2016,,
36,Harry,Arter,1,4,84,2956,62,533.0,482.0,343.0,6,513,135.4,9,1,11,0.3,2016,,
37,Marc,Pugh,2,3,64,1329,24,304.6,238.6,290.0,6,224,83.3,5,0,1,0.4,2016,,
38,Andrew,Surman,0,1,44,1800,38,223.8,256.8,90.0,0,288,57.0,4,1,1,0.1,2016,,
39,Eunan,O'Kane,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,2016,,
40,Shaun,MacDonald,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,2016,,
41,Junior,Stanislas,7,6,107,1467,29,406.9,454.6,418.0,13,372,128.0,4,0,1,1.3,2016,,
42,Dan,Gosling,2,0,49,1366,24,181.7,254.0,168.0,2,254,60.5,4,0,6,0.1,2016,,
43,Max,Gradel,0,0,8,134,1,18.2,24.6,70.0,0,24,10.8,0,0,3,0.1,2016,,
44,Emerson,Hyndman,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,2016,,
45,Jordon,Ibe,0,0,36,1055,22,268.3,113.0,235.0,0,133,61.5,3,0,0,1.1,2016,,
46,Lewis,Cook,0,2,17,432,7,89.8,100.8,28.0,1,81,21.8,1,0,1,0.8,2016,,
47,Joshua,King,16,3,178,2714,54,474.6,835.2,1007.0,17,553,231.6,9,0,1,19.3,2016,,
48,Callum,Wilson,6,1,63,1361,25,125.7,229.0,487.0,2,170,82.2,6,0,0,1.1,2016,,
49,Tokelo,Rantie,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,2016,,
50,Lewis,Grabban,0,1,6,60,2,11.8,24.2,17.0,0,17,5.3,0,0,0,2.9,2016,,
51,Benik,Afobe,6,5,88,1458,24,320.7,350.0,639.0,9,259,130.8,5,0,1,1.2,2016,,
52,Lys,Mousset,0,1,14,270,4,39.6,27.8,109.0,0,22,16.1,1,0,0,0.1,2016,,
53,Tom,Heaton,0,0,149,3150,48,30.3,1001.6,0.0,21,741,103.2,10,0,1,18.6,2016,,
54,Matthew,Lowton,0,2,90,3240,53,491.5,770.6,80.0,5,631,134.2,9,0,9,0.8,2016,,
55,Ben,Mee,1,2,94,3015,49,93.7,890.0,281.0,6,592,126.7,9,0,5,2.2,2016,,
56,Stephen,Ward,1,1,91,3230,53,409.9,644.6,128.0,3,596,118.3,8,0,5,1.6,2016,,
57,Michael,Keane,2,1,113,3150,49,96.7,930.8,557.0,10,619,158.6,10,0,4,3.3,2016,,
58,James,Tarkowski,0,0,23,568,11,53.4,146.2,81.0,0,111,27.5,1,0,1,1.8,2016,,
59,Tendayi,Darikwa,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,2016,,
60,David,Jones,0,0,1,86,1,11.7,0.0,2.0,0,8,1.3,0,0,1,0.0,2016,,
61,George,Boyd,2,2,92,2837,45,268.4,330.6,376.0,2,386,97.2,9,0,3,0.2,2016,,
62,Scott,Arfield,1,2,69,2103,36,556.5,210.2,393.0,3,253,115.7,6,0,3,0.1,2016,,
63,Dean,Marney,1,2,51,1764,28,88.7,244.4,73.0,1,239,40.5,5,0,7,0.4,2016,,
64,Fredrik,Ulvestad,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,2016,,
65,Michael,Kightly,0,0,6,104,1,9.3,2.8,4.0,0,20,1.5,0,0,0,0.6,2016,,
66,Sam,Vokes,10,4,121,2064,34,248.1,500.0,907.0,12,394,164.6,5,0,0,3.2,2016,,
67,Andre,Gray,9,3,108,2260,33,320.2,415.6,648.0,10,303,137.4,8,0,2,4.0,2016,,
68,Lukas,Jutkiewicz,0,0,2,13,0,1.0,0.4,2.0,0,5,0.3,0,0,0,0.6,2016,,
69,Ashley,Barnes,6,3,81,1774,27,277.1,328.8,663.0,10,241,125.5,6,1,6,4.3,2016,,
70,Rouwen,Hennings,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,2016,,
71,Chris,Long,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,2016,,
72,Thibaut,Courtois,0,0,141,3240,28,0.0,517.6,0.0,0,623,52.0,16,0,1,14.1,2016,,
73,Asmir,Begovic,0,0,2,180,5,0.0,13.2,0.0,0,17,1.3,0,0,0,0.2,2016,,
74,John,Terry,1,0,21,496,9,24.3,104.6,104.0,0,97,23.3,1,0,1,1.9,2016,,
75,Branislav,Ivanovic,0,1,23,589,9,69.4,114.6,112.0,2,143,29.4,1,0,2,2.7,2016,,
76,César,Azpilicueta,1,5,170,3420,33,422.8,792.8,150.0,22,872,136.8,16,0,4,18.1,2016,,
77,Gary,Cahill,6,0,178,3296,29,100.8,831.6,400.0,15,778,133.3,17,0,5,15.3,2016,,
78,Kurt,Zouma,0,1,15,250,8,13.5,60.6,4.0,3,69,7.8,0,0,0,0.3,2016,,
79,Abdul Rahman,Baba,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,2016,,
80,Matt,Miazga,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,2016,,
81,Eden,Hazard,16,9,224,2985,29,1306.8,1044.6,1162.0,33,869,351.6,17,0,3,30.6,2016,,
82,Cesc,Fabregas,5,15,121,1340,14,881.8,635.0,325.0,14,529,184.1,4,0,8,3.3,2016,,
83,Oscar,dos Santos Emboaba Junior,0,1,17,455,6,197.4,97.4,128.0,0,104,42.2,1,0,1,0.5,2016,,
84,Juan,Cuadrado,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,2016,,
85,Willian,Borges Da Silva,8,3,114,1534,19,809.4,491.4,522.0,13,441,182.1,6,0,3,3.5,2016,,
86,Nemanja,Matic,1,8,105,2694,24,447.1,546.8,279.0,1,550,127.5,15,0,4,3.9,2016,,
87,Ruben,Loftus-Cheek,0,0,6,35,0,3.9,3.8,25.0,0,16,3.4,0,0,0,0.1,2016,,
88,John Obi,Mikel,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,2016,,
89,Pedro,Rodríguez Ledesma,9,10,162,2140,15,697.9,639.0,669.0,18,580,198.8,15,0,6,8.5,2016,,
90,Bertrand,Traore,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,2016,,
91,Victor,Moses,3,3,105,2485,15,456.2,528.6,683.0,6,476,166.7,17,0,4,2.2,2016,,
92,Marco,Van Ginkel,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,2016,,
93,Robert Kenedy,Nunes do Nascimento,0,0,3,90,3,11.8,1.8,46.0,0,8,6.0,0,0,0,0.0,2016,,
94,N'Golo,Kanté,1,1,83,3138,33,432.8,515.4,244.0,1,554,119.0,13,0,9,11.7,2016,,
95,Michy,Batshuayi,5,1,48,254,3,40.9,193.2,277.0,4,169,50.7,0,0,0,1.2,2016,,
96,Diego,Da Silva Costa,20,11,196,3083,30,687.9,982.6,1891.0,25,657,355.0,14,0,10,32.2,2016,,
97,Loic,Remy,0,0,6,134,3,26.9,20.0,60.0,0,17,10.2,1,0,0,0.2,2016,,
98,Julian,Speroni,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,2016,,
99,Wayne,Hennessey,0,0,92,2610,46,31.1,600.4,0.0,4,497,63.2,7,0,1,3.1,2016,,
100,Alex,McCarthy,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,2016,,
101,Steve,Mandanda,0,0,19,810,17,0.0,182.8,0.0,0,120,18.2,0,0,0,1.9,2016,,
102,James,Tomkins,3,0,75,1974,36,35.7,471.0,213.0,5,359,72.1,6,0,4,0.2,2016,,
103,Scott,Dann,3,1,61,1752,36,73.1,459.0,426.0,4,310,96.0,2,0,2,2.1,2016,,
104,Joel,Ward,0,1,86,3417,63,263.7,608.2,129.0,7,568,100.4,7,0,7,0.9,2016,,
105,Martin,Kelly,0,2,46,2124,44,125.1,421.8,61.0,0,323,61.0,2,0,4,0.6,2016,,
106,Damien,Delaney,0,2,51,2014,39,79.6,496.6,67.0,3,344,64.1,3,0,8,0.5,2016,,
107,Pape,Souaré,0,0,6,270,3,33.5,53.6,9.0,0,37,9.7,0,0,0,0.2,2016,,
108,Yannick,Bolasie,1,4,45,1048,14,326.7,238.0,252.0,3,172,81.8,3,0,3,1.7,2016,,
109,Jason,Puncheon,0,6,92,3093,53,941.8,500.2,448.0,6,500,188.7,7,0,9,0.7,2016,,
110,Wilfried,Zaha,7,11,149,3019,56,606.4,740.4,865.0,13,481,221.2,7,0,8,11.9,2016,,
111,Mile,Jedinak,0,0,2,90,1,31.2,11.8,0.0,0,8,4.3,0,0,0,0.1,2016,,
112,Joe,Ledley,1,1,40,1160,26,109.9,158.2,48.0,1,201,31.5,2,0,1,0.4,2016,,
113,James,McArthur,5,3,93,1999,39,284.5,400.4,300.0,8,363,97.7,3,0,5,1.0,2016,,
114,Jordon,Mutch,0,0,4,53,1,14.1,15.6,0.0,0,17,3.1,0,0,0,0.3,2016,,
115,Jonathan,Williams,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,2016,,
116,Chung-yong,Lee,0,1,24,471,13,125.0,71.2,44.0,0,103,23.9,2,0,0,0.3,2016,,
117,Yohan,Cabaye,4,4,91,2125,41,568.0,427.4,478.0,6,411,146.8,7,0,7,1.1,2016,,
118,Bakary,Sako,0,0,7,142,5,31.6,21.8,32.0,0,29,8.7,0,0,0,0.0,2016,,
119,Andros,Townsend,3,7,116,2520,38,852.4,552.4,511.0,16,492,191.3,7,0,4,2.2,2016,,
120,Fraizer,Campbell,1,0,16,165,4,25.9,42.4,84.0,0,56,15.2,0,0,0,1.0,2016,,
121,Connor,Wickham,2,0,18,412,6,36.2,87.6,132.0,0,59,25.0,0,0,1,0.3,2016,,
122,Joel,Robles,0,1,89,1737,20,10.0,439.2,0.0,5,407,44.9,10,0,2,0.9,2016,,
123,Maarten,Stekelenburg,0,0,68,1683,24,0.1,350.4,0.0,3,309,35.1,4,0,2,1.7,2016,,
124,Leighton,Baines,2,5,135,2819,34,695.0,570.8,151.0,15,647,141.9,11,0,4,11.0,2016,,
125,Seamus,Coleman,4,4,133,2316,28,308.9,596.0,297.0,15,548,120.3,10,0,3,4.0,2016,,
126,Phil,Jagielka,3,3,104,2251,32,71.7,751.4,278.0,16,533,110.1,6,1,4,7.5,2016,,
127,John,Stones,0,0,59,2014,29,78.0,441.4,174.0,4,435,69.7,4,0,1,13.3,2016,,
128,Brendan,Galloway,0,0,9,247,3,18.4,33.0,25.0,0,44,7.5,1,0,0,0.2,2016,,
129,Tyias,Browning,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,2.0,2016,,
130,Matthew,Pennington,1,0,9,180,6,10.7,63.8,33.0,0,37,10.8,0,0,0,0.9,2016,,
131,Ramiro,Funes Mori,0,1,69,1543,19,64.0,346.2,129.0,4,365,54.0,7,0,0,1.4,2016,,
132,Kevin,Mirallas,4,8,119,2074,26,682.1,439.6,739.0,8,420,185.4,11,0,2,2.2,2016,,
133,Ross,Barkley,5,11,144,2900,36,1237.6,692.4,973.0,11,534,290.3,12,0,5,6.6,2016,,
134,Tom,Cleverley,0,3,55,1848,40,438.1,255.2,93.0,0,294,78.7,3,0,4,0.1,2016,,
135,James,McCarthy,1,1,23,613,10,80.4,119.8,84.0,0,100,28.6,0,0,2,0.2,2016,,
136,Gareth,Barry,2,1,68,2109,28,400.6,509.4,244.0,3,371,115.0,7,0,10,3.2,2016,,
137,Darron,Gibson,0,0,17,640,12,51.5,72.4,16.0,0,101,13.8,1,0,4,0.1,2016,,
138,Muhamed,Besic,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,2016,,
139,Bryan,Oviedo,0,0,29,1323,26,155.4,250.6,37.0,0,223,44.4,3,0,4,0.1,2016,,
140,Gerard,Deulofeu,0,0,13,460,6,150.8,54.6,115.0,0,53,32.0,0,0,1,0.8,2016,,
141,Aaron,Lennon,0,1,22,509,5,93.4,78.0,54.0,0,104,22.3,2,0,0,0.2,2016,,
142,Romelu,Lukaku,25,6,221,3266,42,701.4,1171.6,1670.0,33,824,354.1,13,0,3,32.2,2016,,
143,Arouna,Koné,0,0,6,78,3,19.6,7.8,22.0,0,17,4.9,0,0,0,0.7,2016,,
144,Oumar,Niasse,4,1,44,1096,30,163.0,205.8,417.0,3,125,76.8,2,1,3,0.4,2016,,
145,Allan,McGregor,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,2016,,
146,Eldin,Jakupovic,0,0,86,1980,36,0.3,554.2,4.0,7,431,55.8,5,0,0,21.9,2016,,
147,Brian,Lenihan,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.1,2016,,
148,Curtis,Davies,0,2,38,2135,53,33.0,644.6,128.0,3,368,80.5,1,0,4,1.3,2016,,
149,Michael,Dawson,3,0,46,1722,44,46.3,573.6,236.0,4,311,85.5,1,0,4,0.5,2016,,
150,Moses,Odubajo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,2016,,
151,Andrew,Robertson,1,2,73,2736,59,352.8,502.6,100.0,4,488,95.6,5,0,5,1.9,2016,,
152,Harry,Maguire,2,3,71,2307,53,157.2,707.6,439.0,5,483,130.6,4,0,5,0.8,2016,,
