guid,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,year,now_cost,element_type
720,Ezequiel,Schelotto,0,0,20,1313,30,99.2,210.0,73.0,0,183,38.2,0,0,3,0.1,2017,44.0,
721,Tim,Krul,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.8,2017,39.0,
722,Jayson,Molumby,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,2017,45.0,
723,Jürgen,Locadia,1,1,16,221,8,24.6,50.4,89.0,2,47,15.8,1,0,0,0.0,2017,60.0,
53,Tom,Heaton,0,0,8,305,4,0.0,53.4,0.0,0,48,5.3,0,0,0,1.7,2017,47.0,
471,Paul,Robinson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,2017,45.0,
54,Matthew,Lowton,0,3,89,2295,26,264.9,574.6,46.0,4,450,89.0,8,0,1,4.9,2017,44.0,
55,Ben,Mee,0,0,90,2610,27,74.5,748.6,349.0,6,491,117.3,9,0,5,7.3,2017,49.0,
56,Stephen,Ward,1,1,102,2460,27,270.9,498.4,82.0,9,484,85.4,9,0,1,8.5,2017,48.0,
58,James,Tarkowski,0,1,101,2790,30,98.4,822.0,253.0,4,539,117.8,11,0,5,5.1,2017,46.0,
593,Kevin,Long,1,2,57,1440,21,64.8,460.0,220.0,6,282,74.5,4,0,1,7.5,2017,41.0,
724,Charlie,Taylor,0,0,23,949,12,86.8,184.2,4.0,0,132,27.5,2,0,3,0.4,2017,42.0,
62,Scott,Arfield,2,2,56,1330,15,120.2,233.2,246.0,6,185,60.1,6,0,3,0.2,2017,49.0,
63,Dean,Marney,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,2017,44.0,
472,Johann Berg,Gudmundsson,2,9,117,2831,33,1052.0,599.0,539.0,7,467,219.2,10,0,2,1.9,2017,50.0,
524,Steven,Defour,1,1,62,1998,17,310.8,353.8,117.0,0,353,78.4,12,0,6,0.3,2017,54.0,
559,Jeff,Hendrick,2,2,85,2326,28,408.2,265.6,335.0,1,307,100.9,9,0,1,0.2,2017,54.0,
639,Robbie,Brady,1,4,56,1277,12,477.9,273.8,221.0,7,216,97.3,6,0,3,0.4,2017,53.0,
640,Ashley,Westwood,0,1,35,1105,17,134.8,182.4,90.0,1,189,40.7,2,0,2,0.1,2017,43.0,
329,Jonathan,Walters,0,0,3,36,2,0.7,1.2,12.0,0,3,1.1,0,0,0,0.1,2017,51.0,
366,Jack,Cork,2,1,100,3420,39,332.8,589.6,265.0,6,533,119.0,12,0,7,3.6,2017,45.0,
66,Sam,Vokes,4,2,63,977,16,128.0,208.4,384.0,7,170,71.1,2,0,3,2.1,2017,57.0,
69,Ashley,Barnes,9,0,92,2150,23,274.8,407.2,797.0,9,290,145.8,5,0,10,3.2,2017,53.0,
141,Aaron,Lennon,0,4,65,1906,30,203.2,232.2,297.0,0,204,73.3,6,0,2,0.2,2017,54.0,
725,Nahki,Wells,0,0,9,46,3,3.5,7.2,37.0,0,20,4.7,0,0,0,0.1,2017,49.0,
322,Phil,Bardsley,0,0,33,1125,13,117.5,229.4,35.0,0,193,38.3,4,0,5,0.3,2017,40.0,
564,Georges-Kévin,Nkoudou,0,0,11,223,2,49.3,26.0,41.0,0,21,11.2,1,0,1,0.0,2017,53.0,
470,Nick,Pope,0,0,152,3114,35,40.0,862.4,0.0,19,701,90.1,11,0,3,10.1,2017,50.0,
726,Chris,Wood,10,1,104,1621,11,203.5,442.0,692.0,20,314,133.8,10,0,1,1.7,2017,62.0,
727,Adam,Legzdins,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,2017,40.0,
728,Anders,Lindegaard,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,2017,40.0,
64,Fredrik,Ulvestad,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,2017,44.0,
530,Aiden,O'Neill,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,2017,45.0,
729,Dwight,McNeil,0,0,1,1,0,0.0,0.0,0.0,0,3,0.0,0,0,0,0.0,2017,45.0,
24,Olivier,Giroud,7,1,77,981,11,311.1,307.0,673.0,10,273,129.0,5,0,0,3.7,2017,84.0,
72,Thibaut,Courtois,0,0,136,3150,34,0.0,549.0,0.0,4,635,55.2,15,0,2,10.3,2017,53.0,
730,Eduardo,dos Reis Carvalho,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,2017,47.0,
218,Willy,Caballero,0,0,11,270,4,0.0,55.2,0.0,0,54,5.5,1,0,0,0.1,2017,48.0,
76,César,Azpilicueta,2,6,175,3330,38,535.7,967.4,168.0,25,913,167.5,15,0,1,21.0,2017,69.0,
77,Gary,Cahill,0,0,74,2082,27,55.6,496.6,99.0,2,447,65.4,9,1,1,3.0,2017,62.0,
560,Marcos,Alonso,7,2,165,2855,30,549.6,697.8,822.0,15,650,207.1,13,0,6,16.2,2017,71.0,
569,David,Luiz Moreira Marinho,1,2,32,838,13,22.3,210.2,65.0,0,186,29.6,3,1,3,8.1,2017,57.0,
91,Victor,Moses,3,6,131,2109,20,358.1,417.0,482.0,9,486,125.9,11,0,3,2.9,2017,65.0,
731,Antonio,Rüdiger,2,1,115,2336,22,83.0,546.6,217.0,8,557,84.8,12,0,4,3.3,2017,58.0,
81,Eden,Hazard,12,6,173,2417,27,1127.3,928.0,1115.0,24,699,317.3,12,0,2,6.4,2017,105.0,
82,Cesc,Fàbregas,2,4,89,2300,26,1349.3,713.8,485.0,7,539,254.9,11,1,4,3.1,2017,68.0,
85,Willian,Borges Da Silva,6,8,130,1874,19,891.5,640.0,715.0,13,522,224.5,9,0,1,12.6,2017,70.0,
89,Pedro,Rodríguez Ledesma,4,2,81,1511,14,410.0,338.4,498.0,2,272,124.6,8,0,1,1.0,2017,77.0,
94,N'Golo,Kanté,1,2,101,2994,32,638.2,676.0,199.0,9,655,151.7,16,0,3,11.7,2017,49.0,
95,Michy,Batshuayi,2,1,25,351,7,39.0,99.4,123.0,3,77,25.7,1,0,0,0.5,2017,81.0,
96,Diego,Da Silva Costa,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,2017,95.0,
133,Ross,Barkley,0,0,3,129,4,34.7,21.0,45.0,0,11,10.1,0,0,0,0.2,2017,73.0,
732,Kasey,Palmer,0,0,4,168,2,25.6,20.0,27.0,0,9,7.2,1,0,2,0.0,2017,53.0,
178,Daniel,Drinkwater,1,0,24,520,7,88.1,116.4,54.0,1,117,25.7,1,0,0,0.2,2017,47.0,
733,Tiemoué,Bakayoko,2,2,77,2121,24,279.5,415.4,434.0,5,346,113.2,11,1,3,1.2,2017,49.0,
734,Andreas,Christensen,0,0,79,2067,23,66.5,466.6,109.0,4,475,64.3,8,0,0,1.9,2017,53.0,
735,Charly,Musonda,0,1,6,35,0,18.5,20.6,14.0,0,15,5.0,0,0,0,0.0,2017,48.0,
736,Álvaro,Morata,11,6,122,2055,19,478.9,620.6,1192.0,13,356,228.8,11,0,7,7.6,2017,104.0,
737,Fikayo,Tomori,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,2017,45.0,
738,Kyle,Scott,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,2017,43.0,
739,Jeremie,Boga,0,0,1,17,0,1.0,0.0,0.0,0,1,0.0,0,0,0,0.0,2017,60.0,
740,Davide,Zappacosta,1,1,58,1087,15,245.3,255.2,329.0,1,226,82.6,5,0,0,0.2,2017,59.0,
741,Ethan,Ampadu,0,0,1,10,1,0.0,7.4,0.0,0,6,0.7,0,0,0,0.0,2017,45.0,
742,Callum,Hudson-Odoi,0,0,2,27,1,1.7,8.8,27.0,0,11,3.8,0,0,0,0.0,2017,45.0,
743,Dujon,Sterling,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,2017,45.0,
744,Emerson,Palmieri dos Santos,0,1,14,278,4,28.7,61.8,48.0,0,68,13.8,1,0,0,0.1,2017,52.0,
745,Trevoh,Chalobah,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,2017,40.0,
87,Ruben,Loftus-Cheek,2,5,77,1871,30,377.0,379.2,487.0,2,337,124.5,6,0,1,3.5,2017,44.0,
99,Wayne,Hennessey,0,0,99,2430,41,10.0,603.8,0.0,11,506,61.4,7,0,1,3.1,2017,44.0,
98,Julian,Speroni,0,0,36,990,14,0.0,213.6,0.0,3,175,21.3,2,0,0,2.9,2017,40.0,
102,James,Tomkins,3,0,99,2386,32,22.4,712.6,309.0,9,512,104.7,9,0,8,4.4,2017,44.0,
103,Scott,Dann,1,0,32,1434,26,62.3,342.2,268.0,0,211,67.0,1,0,4,0.3,2017,46.0,
104,Joel,Ward,0,1,41,1613,25,163.5,340.6,58.0,0,276,56.3,4,0,4,0.2,2017,47.0,
105,Martin,Kelly,0,0,34,1193,21,25.7,222.6,84.0,1,185,33.3,4,0,1,0.6,2017,41.0,
106,Damien,Delaney,0,0,1,95,5,0.3,40.0,0.0,0,19,4.0,0,0,0,0.2,2017,42.0,
107,Pape,Souaré,0,0,1,8,0,1.1,0.2,0.0,0,3,0.1,0,0,0,0.0,2017,45.0,
168,Jeffrey,Schlupp,0,2,50,1742,30,189.7,339.6,155.0,0,281,68.6,3,0,3,0.2,2017,47.0,
343,Patrick,van Aanholt,5,1,95,2182,38,303.8,537.0,319.0,7,448,116.3,6,0,7,3.1,2017,52.0,
109,Jason,Puncheon,0,0,11,574,14,93.9,46.4,112.0,0,38,25.1,0,0,5,0.3,2017,44.0,
110,Wilfried,Zaha,9,7,136,2549,31,716.9,668.0,1125.0,8,404,251.0,10,0,5,10.6,2017,71.0,
113,James,McArthur,5,2,101,2425,35,333.0,490.6,566.0,9,416,138.9,7,0,5,4.7,2017,44.0,
116,Chung-yong,Lee,0,0,8,131,3,32.0,4.4,10.0,0,23,4.6,0,0,0,0.3,2017,42.0,
117,Yohan,Cabaye,0,4,73,2374,36,754.0,431.2,348.0,3,415,153.5,8,0,7,0.2,2017,53.0,
118,Bakary,Sako,3,0,36,466,10,103.1,143.2,227.0,1,115,46.9,1,0,0,0.1,2017,48.0,
119,Andros,Townsend,2,9,121,3120,48,1012.1,626.0,587.0,7,552,222.8,9,0,3,1.4,2017,56.0,
645,Luka,Milivojevic,10,2,144,3079,52,379.0,873.8,432.0,21,630,168.6,8,0,8,13.5,2017,52.0,
121,Connor,Wickham,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,2017,54.0,
212,Christian,Benteke,3,7,84,2234,36,406.7,325.2,845.0,5,174,157.5,6,0,6,2.5,2017,75.0,
189,Mamadou,Sakho,1,2,81,1597,23,30.7,426.2,77.0,18,405,53.6,6,0,1,1.0,2017,46.0,
252,Timothy,Fosu-Mensah,0,0,39,1592,29,103.7,326.6,43.0,3,279,47.4,2,0,2,1.0,2017,44.0,
746,Jairo,Riedewald,0,0,23,435,6,21.5,74.4,12.0,0,100,10.6,2,0,0,0.1,2017,46.0,
747,Jason,Lokilo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,2017,43.0,
507,Olayinka Fredrick Oladotun,Ladapo,0,0,1,16,1,1.1,0.4,0.0,0,3,0.2,0,0,0,1.0,2017,45.0,
493,Sullay,Kaikai,0,0,1,13,0,0.3,5.2,0.0,0,5,0.6,0,0,0,0.1,2017,43.0,
508,Keshi,Anderson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,2017,45.0,
748,Levi,Lumeka,0,0,1,25,0,0.5,4.2,18.0,0,3,2.3,0,0,0,0.0,2017,44.0,
114,Jordon,Mutch,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,2017,45.0,
749,Dion,Henry,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,2017,40.0,
611,Aaron,Wan-Bissaka,0,0,15,627,10,60.0,207.2,2.0,0,116,26.8,2,0,1,0.0,2017,45.0,
750,Jaroslaw,Jach,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,2017,42.0,
751,Erdal,Rakip,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,2017,48.0,
752,Alexander,Sørloth,0,0,8,360,9,74.0,48.6,102.0,0,25,22.5,0,0,0,0.1,2017,54.0,
753,Nya,Kirby,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,2017,45.0,
754,Diego,Cavalieri,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,2017,40.0,
755,James,Daly,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,2017,45.0,
12,Theo,Walcott,3,3,62,1214,17,234.9,316.6,406.0,3,226,95.9,4,0,2,2.1,2017,66.0,
339,Jordan,Pickford,0,0,145,3420,58,30.1,873.6,4.0,16,724,90.7,10,0,0,8.3,2017,49.0,
122,Joel,Robles,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,2017,42.0,
123,Maarten,Stekelenburg,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,2017,42.0,
124,Leighton,Baines,2,3,82,1909,34,373.5,407.4,102.0,10,381,88.2,5,0,1,4.0,2017,57.0,
125,Seamus,Coleman,0,1,39,1035,12,113.7,227.6,69.0,0,198,41.2,4,0,0,0.5,2017,64.0,
126,Phil,Jagielka,0,0,60,2063,39,24.1,529.2,108.0,5,415,66.2,6,0,2,2.7,2017,47.0,
130,Matthew,Pennington,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,2017,40.0,
131,Ramiro,Funes Mori,0,0,3,119,2,0.9,29.2,6.0,0,14,3.6,0,0,1,0.0,2017,49.0,
358,Ashley,Williams,1,0,56,1830,31,39.0,518.0,132.0,3,332,68.9,5,1,3,2.1,2017,52.0,
494,Mason,Holgate,0,0,37,1183,14,93.9,285.8,105.0,0,214,48.5,4,0,3,1.0,2017,40.0,
615,Jonjoe,Kenny,0,2,50,1589,31,184.5,362.4,47.0,2,309,59.5,5,0,2,2.1,2017,39.0,
57,Michael,Keane,0,1,81,2559,46,58.4,703.4,124.0,11,513,88.7,7,0,3,5.1,2017,53.0,
108,Yannick,Bolasie,1,1,35,848,14,109.0,98.6,204.0,0,80,40.8,3,0,0,0.2,2017,64.0,
132,Kevin,Mirallas,0,0,5,135,8,20.2,16.4,42.0,0,19,7.9,0,0,1,0.8,2017,60.0,
135,James,McCarthy,0,0,6,204,6,19.3,33.8,4.0,0,41,5.8,0,0,0,0.0,2017,49.0,
138,Muhamed,Besic,0,0,2,46,0,11.5,18.2,0.0,0,10,3.0,0,0,0,0.1,2017,42.0,
263,Morgan,Schneiderlin,0,0,52,2124,38,159.2,361.2,52.0,1,344,57.2,6,1,4,0.5,2017,47.0,
487,Idrissa,Gueye,2,2,87,2749,45,303.6,577.0,166.0,7,552,104.6,9,1,6,0.9,2017,48.0,
511,Tom,Davies,2,2,66,1892,24,207.2,242.8,218.0,3,223,65.8,6,0,7,0.4,2017,51.0,
626,Ademola,Lookman,0,1,10,153,6,20.5,12.0,43.0,0,30,7.5,0,0,0,0.1,2017,51.0,
756,Davy,Klaassen,0,0,7,248,6,33.7,23.0,28.0,0,18,8.3,0,0,0,0.4,2017,69.0,
594,Dominic,Calvert-Lewin,4,8,88,1871,28,322.6,354.0,630.0,3,255,130.2,6,0,4,3.5,2017,49.0,
757,Sandro,Ramírez,0,0,10,275,7,28.3,8.8,67.0,0,21,9.8,1,0,0,0.4,2017,70.0,
268,Wayne,Rooney,10,3,113,2265,33,573.7,585.0,467.0,20,480,162.4,7,0,5,9.3,2017,71.0,
367,Gylfi,Sigurdsson,4,4,96,2257,40,614.9,485.6,437.0,8,396,154.0,6,0,2,1.9,2017,80.0,
301,Cuco,Martina,0,2,55,1830,30,238.8,468.8,39.0,0,367,74.9,5,0,2,1.1,2017,41.0,
224,Eliaquim,Mangala,0,0,22,617,7,19.9,113.8,32.0,0,118,16.8,2,0,0,0.1,2017,50.0,
758,Nikola,Vlasic,0,0,18,572,12,159.1,91.8,85.0,0,80,33.6,1,0,0,0.0,2017,53.0,
144,Oumar,Niasse,8,3,83,1076,23,159.2,370.6,634.0,14,248,115.2,0,0,2,5.0,2017,46.0,
759,Beni,Baningime,0,0,7,192,2,3.8,9.4,0.0,0,20,1.3,0,0,1,0.0,2017,45.0,
760,Cenk,Tosun,5,0,55,984,13,226.4,232.4,304.0,9,192,75.6,4,0,0,2.1,2017,67.0,
761,Luke,Garbutt,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,2017,40.0,
762,Joel,Coleman,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,3.8,2017,39.0,
763,Jonas,Lössl,0,1,135,3420,58,30.0,846.8,0.0,11,701,87.8,10,0,1,6.8,2017,46.0,
764,Christopher,Schindler,0,2,102,3264,53,107.1,928.0,149.0,15,692,119.1,9,1,6,3.2,2017,46.0,
765,Chris,Löwe,0,0,60,1585,26,125.5,266.0,39.0,0,321,43.0,7,0,1,1.1,2017,44.0,
766,Tommy,Smith,0,1,50,1902,31,251.6,322.0,50.0,2,311,62.8,5,0,7,0.2,2017,47.0,
767,Michael,Hefele,0,0,1,32,1,0.1,4.0,0.0,0,1,0.4,0,0,1,0.1,2017,42.0,
768,Martin,Cranie,0,0,2,179,7,1.7,44.0,2.0,0,35,4.7,0,0,0,0.2,2017,40.0,
769,Jon Gorenc,Stankovic,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,2017,39.0,
770,Mark,Hudson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,2017,40.0,
771,Mathias,Jorgensen,0,3,107,3420,58,123.6,768.6,169.0,9,623,106.2,10,0,6,6.6,2017,45.0,
772,Aaron,Mooy,4,3,113,3066,52,848.8,753.2,350.0,8,576,195.2,10,0,4,4.7,2017,52.0,
773,Rajiv,van La Parra,3,0,74,2131,36,261.6,322.6,544.0,3,240,112.7,6,1,3,0.4,2017,44.0,
774,Jonathan,Hogg,0,0,53,2396,40,172.8,475.0,61.0,0,400,71.2,7,1,8,0.2,2017,44.0,
775,Philip,Billing,0,0,22,755,11,58.6,111.4,26.0,0,98,19.3,3,0,3,0.2,2017,44.0,
776,Joe,Lolley,1,0,11,217,5,20.0,50.6,47.0,0,28,11.8,0,0,1,0.1,2017,43.0,
777,Jack,Payne,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,2017,45.0,
778,Dean,Whitehead,0,0,4,68,3,1.1,6.6,0.0,0,16,0.8,0,0,0,0.1,2017,42.0,
779,Harry,Bunn,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,2017,45.0,
780,Sean,Scannell,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,2017,45.0,
781,Elias,Kachunga,1,1,46,1327,23,152.1,151.0,246.0,0,151,54.5,6,0,1,0.1,2017,57.0,
782,Tom,Ince,2,1,82,2450,39,331.3,253.0,794.0,3,269,138.0,7,0,0,0.4,2017,55.0,
783,Danny,Williams,0,0,28,1115,22,83.0,131.4,56.0,0,134,27.0,0,0,2,0.0,2017,48.0,
784,Collin,Quaner,0,4,44,1268,23,255.7,209.0,283.0,0,173,74.8,3,0,4,4.8,2017,45.0,
785,Laurent,Depoitre,6,2,94,1807,34,191.4,352.0,451.0,14,283,99.6,4,0,1,2.6,2017,50.0,
786,Steve,Mounie,7,2,92,1849,32,270.7,377.0,600.0,12,269,124.5,6,0,2,1.7,2017,55.0,
787,Scott,Malone,0,1,41,1110,23,146.8,221.6,97.0,4,211,46.5,3,0,3,0.2,2017,43.0,
788,Florent,Hadergjonaj,0,1,51,1670,28,381.8,310.0,95.0,5,274,78.8,4,0,3,0.1,2017,45.0,
789,Abdelhamid,Sabiri,0,1,10,217,5,40.6,30.8,53.0,0,30,12.4,1,0,1,0.0,2017,47.0,
790,Robert,Green,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,2017,40.0,
791,Terence,Kongolo,0,0,30,1047,14,52.2,268.0,47.0,2,182,36.7,2,0,0,0.0,2017,44.0,
400,Alex,Pritchard,1,2,40,997,12,300.3,173.6,213.0,3,168,68.7,3,0,1,0.1,2017,54.0,
164,Kasper,Schmeichel,0,0,123,2965,47,11.1,687.2,0.0,17,592,69.9,8,0,3,4.1,2017,51.0,
582,Ben,Hamer,0,0,9,274,7,0.0,51.8,0.0,0,54,5.1,1,0,0,0.1,2017,43.0,
166,Wes,Morgan,0,0,61,2817,52,62.0,530.0,158.0,1,390,75.1,5,0,4,2.9,2017,44.0,
167,Christian,Fuchs,0,1,57,1917,35,282.2,396.6,55.0,8,370,73.5,4,0,1,1.9,2017,47.0,
171,Danny,Simpson,0,0,55,2306,41,121.2,444.2,42.0,0,342,60.7,5,0,4,2.2,2017,43.0,
172,Robert,Huth,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,2017,48.0,
173,Yohan,Benalouane,0,0,1,90,2,1.3,24.8,18.0,0,7,4.4,0,0,0,0.1,2017,42.0,
495,Benjamin,Chilwell,0,2,65,1848,30,332.1,382.8,63.0,4,381,78.0,6,1,1,3.1,2017,44.0,
152,Harry,Maguire,2,4,117,3420,60,254.3,955.8,478.0,10,716,168.8,9,0,7,10.9,2017,55.0,
175,Riyad,Mahrez,12,13,195,2948,51,924.0,966.0,932.0,19,682,282.6,9,0,2,8.2,2017,87.0,
176,Marc,Albrighton,2,8,107,2533,42,718.3,580.0,300.0,12,458,160.2,8,1,5,2.2,2017,55.0,
180,Demarai,Gray,3,3,80,1683,35,412.8,290.6,461.0,2,308,116.7,4,0,2,0.6,2017,53.0,
181,Daniel,Amartey,0,0,13,486,7,10.3,81.2,0.0,0,53,9.2,3,1,0,0.2,2017,43.0,
182,Nampalys,Mendy,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,2017,45.0,
627,Wilfred,Ndidi,0,4,78,2896,45,230.7,640.4,299.0,4,449,117.2,9,2,6,0.4,2017,49.0,
186,Ahmed,Musa,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,2017,61.0,
792,Vicente,Iborra,3,0,58,1411,23,131.6,341.6,150.0,6,293,62.3,3,0,0,0.1,2017,57.0,
183,Jamie,Vardy,20,2,183,3248,57,439.9,822.8,1222.0,28,674,248.6,8,0,3,21.7,2017,88.0,
185,Shinji,Okazaki,6,3,76,1314,19,228.1,347.6,508.0,7,275,107.9,5,0,2,2.9,2017,53.0,
240,Kelechi,Iheanacho,3,4,54,818,17,185.6,214.2,350.0,5,171,74.5,1,0,2,0.8,2017,65.0,
146,Eldin,Jakupovic,0,0,4,180,6,0.0,67.8,0.0,0,36,6.8,0,0,0,0.1,2017,42.0,
793,Matty,James,0,0,26,991,15,52.7,114.6,145.0,0,121,31.4,4,0,2,0.2,2017,44.0,
794,Aleksandar,Dragovic,0,0,28,766,14,3.6,177.8,35.0,0,166,21.8,4,0,2,0.1,2017,49.0,
795,Hamza,Choudhury,0,1,13,375,9,20.2,68.0,16.0,0,60,10.4,0,0,1,0.0,2017,44.0,
796,George,Thomas,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,2017,45.0,
797,Adrien Sebastian,Perruchet Silva,0,2,23,760,18,120.0,133.2,65.0,0,128,31.8,1,0,3,0.0,2017,59.0,
798,Fousseni,Diabaté,0,1,21,579,12,130.8,98.6,67.0,0,72,29.7,0,0,1,0.1,2017,49.0,
799,Harvey,Barnes,0,0,3,8,0,1.0,0.2,6.0,0,8,0.6,0,0,0,0.0,2017,45.0,
800,Sam,Hughes,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,2017,40.0,
801,Layton,Ndukwu,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,2017,40.0,
17,Alex,Oxlade-Chamberlain,3,7,94,1718,28,625.1,548.0,494.0,5,423,166.5,5,0,3,2.2,2017,55.0,
187,Simon,Mignolet,0,0,67,1710,24,0.0,281.0,0.0,0,329,28.0,7,0,3,1.1,2017,47.0,
188,Loris,Karius,0,0,88,1710,14,0.0,280.6,0.0,5,382,27.9,10,0,1,1.9,2017,49.0,
190,Dejan,Lovren,2,1,110,2124,24,104.5,656.4,242.0,10,539,100.2,11,0,4,1.5,2017,53.0,
191,Alberto,Moreno,0,1,52,1264,19,250.1,261.8,106.0,3,328,61.7,6,0,1,1.2,2017,43.0,
192,Nathaniel,Clyne,0,0,7,173,1,23.8,21.8,41.0,0,25,8.7,1,0,1,0.3,2017,53.0,
194,Joseph,Gomez,0,2,86,1901,22,285.6,437.4,46.0,9,480,76.9,9,0,3,2.2,2017,45.0,
198,Joel,Matip,1,0,81,1995,27,96.1,544.8,140.0,3,470,78.1,9,0,3,1.7,2017,54.0,
473,Ragnar,Klavan,1,0,78,1449,15,65.0,357.2,43.0,9,384,46.6,8,0,0,1.8,2017,41.0,
207,James,Milner,0,3,77,1759,25,615.5,437.2,272.0,4,459,132.5,6,0,3,2.5,2017,60.0,
522,Trent,Alexander-Arnold,1,2,83,1573,17,399.2,358.2,142.0,10,385,90.1,8,0,3,5.5,2017,44.0,
199,Leiva,Lucas,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,2017,45.0,
200,Jordan,Henderson,1,1,75,2169,21,448.8,417.0,110.0,3,382,97.8,14,0,1,1.2,2017,53.0,
202,Philippe,Coutinho,7,7,103,1109,14,624.4,550.4,519.0,15,381,169.4,5,0,0,3.0,2017,91.0,
203,Emre,Can,3,6,92,2089,29,426.4,546.4,231.0,10,499,120.6,8,0,8,4.0,2017,49.0,
204,Adam,Lallana,0,0,13,234,1,113.4,32.6,128.0,0,37,27.3,1,0,1,0.3,2017,73.0,
206,Oluwaseyi,Ojo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,2017,50.0,
211,Sadio,Mané,10,8,147,2189,24,739.1,677.4,964.0,8,499,238.0,15,1,3,8.5,2017,94.0,
474,Marko,Grujic,0,0,3,14,0,11.7,7.4,0.0,0,9,1.9,0,0,0,0.4,2017,42.0,
484,Georginio,Wijnaldum,1,2,85,2381,23,356.2,341.8,399.0,1,406,109.9,15,0,1,2.2,2017,66.0,
602,Ben,Woodburn,0,0,1,6,0,2.3,0.4,2.0,0,3,0.5,0,0,0,0.3,2017,42.0,
802,Mohamed,Salah,32,12,303,2905,29,942.5,1496.2,2109.0,26,881,454.4,15,0,1,56.7,2017,106.0,
208,Roberto,Firmino,15,8,181,2760,32,834.5,951.0,1341.0,29,758,312.7,16,0,1,36.1,2017,95.0,
215,Danny,Ings,1,1,18,262,0,42.0,57.8,143.0,0,53,24.0,3,0,0,0.2,2017,54.0,
216,Divock,Origi,0,0,1,9,1,0.0,0.0,0.0,0,3,0.0,0,0,0,0.2,2017,74.0,
589,Dominic,Solanke,1,2,38,581,4,199.4,123.8,350.0,2,107,66.4,3,0,0,1.6,2017,46.0,
302,Virgil,van Dijk,0,0,78,2253,28,122.6,601.0,277.0,5,481,100.2,8,0,1,7.3,2017,57.0,
151,Andrew,Robertson,1,5,111,1940,18,414.5,424.0,174.0,12,514,101.3,10,0,2,7.4,2017,50.0,
193,Jon,Flanagan,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,2017,44.0,
