club_reference,href,name_and_surname,position,market_value,date_of_birth,country
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2019,/alisson/profil/spieler/105470,Alisson,Goalkeeper,72000000.00,1992-10-02 00:00:00,Brazil
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2019,/simon-mignolet/profil/spieler/50219,Simon Mignolet,Goalkeeper,8000000.00,1988-03-06 00:00:00,Belgium
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2019,/adrian/profil/spieler/71271,Adrián,Goalkeeper,4000000.00,1987-01-03 00:00:00,Spain
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2019,/loris-karius/profil/spieler/85864,Loris Karius,Goalkeeper,3200000.00,1993-06-22 00:00:00,Germany
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2019,/caoimhin-kelleher/profil/spieler/340918,Caoimhin Kelleher,Goalkeeper,900000,1998-11-23 00:00:00,Ireland
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2019,/andy-lonergan/profil/spieler/14044,Andy Lonergan,Goalkeeper,250000,1983-10-19 00:00:00,England
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2019,/vitezslav-jaros/profil/spieler/486604,Vitezslav Jaros,Goalkeeper,-1,2001-07-23 00:00:00,Czech Republic
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2019,/ben-winterbottom/profil/spieler/505046,Ben Winterbottom,Goalkeeper,-1,2001-07-16 00:00:00,England
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2019,/virgil-van-dijk/profil/spieler/139208,Virgil van Dijk,Centre-Back,80000000.00,1991-07-08 00:00:00,Netherlands
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2019,/joe-gomez/profil/spieler/256178,Joe Gomez,Centre-Back,33500000.00,1997-05-23 00:00:00,England
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2019,/joel-matip/profil/spieler/82105,Joel Matip,Centre-Back,32000000.00,1991-08-08 00:00:00,Cameroon
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2019,/dejan-lovren/profil/spieler/37838,Dejan Lovren,Centre-Back,16000000.00,1989-07-05 00:00:00,Croatia
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2019,/sepp-van-den-berg/profil/spieler/541231,Sepp van den Berg,Centre-Back,1800000.00,2001-12-20 00:00:00,Netherlands
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2019,/nathaniel-phillips/profil/spieler/371814,Nathaniel Phillips,Centre-Back,800000,1997-03-21 00:00:00,England
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2019,/tom-clayton/profil/spieler/546194,Tom Clayton,Centre-Back,-1,2000-12-16 00:00:00,Scotland
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2019,/morgan-boyes/profil/spieler/554250,Morgan Boyes,Centre-Back,-1,2001-04-22 00:00:00,Wales
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2019,/billy-koumetio/profil/spieler/696324,Billy Koumetio,Centre-Back,-1,2002-11-14 00:00:00,France
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2019,/andrew-robertson/profil/spieler/234803,Andrew Robertson,Left-Back,64000000.00,1994-03-11 00:00:00,Scotland
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2019,/yasser-larouci/profil/spieler/554251,Yasser Larouci,Left-Back,1800000.00,2001-01-01 00:00:00,Algeria
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2019,/tony-gallacher/profil/spieler/344579,Tony Gallacher,Left-Back,250000,1999-07-23 00:00:00,Scotland
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2019,/adam-lewis/profil/spieler/347481,Adam Lewis,Left-Back,-1,1999-11-08 00:00:00,England
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2019,/james-norris/profil/spieler/618495,James Norris,Left-Back,-1,2003-04-04 00:00:00,England
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2019,/trent-alexander-arnold/profil/spieler/314353,Trent Alexander-Arnold,Right-Back,99000000.00,1998-10-07 00:00:00,England
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2019,/nathaniel-clyne/profil/spieler/85177,Nathaniel Clyne,Right-Back,8000000.00,1991-04-05 00:00:00,England
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2019,/ki-jana-hoever/profil/spieler/485583,Ki-Jana Hoever,Right-Back,3600000.00,2002-01-18 00:00:00,Netherlands
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2019,/neco-williams/profil/spieler/503680,Neco Williams,Right-Back,-1,2001-04-13 00:00:00,Wales
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2019,/fabinho/profil/spieler/225693,Fabinho,Defensive Midfield,56000000.00,1993-10-23 00:00:00,Brazil
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2019,/pedro-chirivella/profil/spieler/242273,Pedro Chirivella,Defensive Midfield,650000,1997-05-23 00:00:00,Spain
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2019,/leighton-clarkson/profil/spieler/470606,Leighton Clarkson,Defensive Midfield,-1,2001-10-19 00:00:00,England
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2019,/georginio-wijnaldum/profil/spieler/49499,Georginio Wijnaldum,Central Midfield,40000000.00,1990-11-11 00:00:00,Netherlands
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2019,/naby-keita/profil/spieler/302215,Naby Keïta,Central Midfield,33500000.00,1995-02-10 00:00:00,Guinea
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2019,/jordan-henderson/profil/spieler/61651,Jordan Henderson,Central Midfield,28000000.00,1990-06-17 00:00:00,England
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2019,/alex-oxlade-chamberlain/profil/spieler/143424,Alex Oxlade-Chamberlain,Central Midfield,28000000.00,1993-08-15 00:00:00,England
