club_reference,href,name_and_surname,position,market_value,date_of_birth,country
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2015,/thibaut-courtois/profil/spieler/108390,Thibaut Courtois,Goalkeeper,35000000.00,1992-05-11 00:00:00,Belgium
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2015,/asmir-begovic/profil/spieler/33873,Asmir Begovic,Goalkeeper,12000000.00,1987-06-20 00:00:00,Bosnia-Herzegovina
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2015,/jamal-blackman/profil/spieler/128898,Jamal Blackman,Goalkeeper,250000,1993-10-27 00:00:00,England
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2015,/marco-amelia/profil/spieler/16810,Marco Amelia,Goalkeeper,250000,1982-04-02 00:00:00,Italy
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2015,/kurt-zouma/profil/spieler/157509,Kurt Zouma,Centre-Back,17000000.00,1994-10-27 00:00:00,France
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2015,/gary-cahill/profil/spieler/27511,Gary Cahill,Centre-Back,16000000.00,1985-12-19 00:00:00,England
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2015,/branislav-ivanovic/profil/spieler/36827,Branislav Ivanovic,Centre-Back,11000000.00,1984-02-22 00:00:00,Serbia
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2015,/nathan-ake/profil/spieler/177476,Nathan Aké,Centre-Back,4500000.00,1995-02-18 00:00:00,Netherlands
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2015,/papy-djilobodji/profil/spieler/136610,Papy Djilobodji,Centre-Back,3500000.00,1988-12-01 00:00:00,Senegal
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2015,/tomas-kalas/profil/spieler/148657,Tomas Kalas,Centre-Back,3000000.00,1993-05-15 00:00:00,Czech Republic
