club_reference,href,name_and_surname,position,market_value,date_of_birth,country
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/thibaut-courtois/profil/spieler/108390,Thibaut Courtois,Goalkeeper,60000000.00,1992-05-11 00:00:00,Belgium
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/willy-caballero/profil/spieler/19948,Willy Caballero,Goalkeeper,1000000.00,1981-09-28 00:00:00,Argentina
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/eduardo/profil/spieler/34159,Eduardo,Goalkeeper,1000000.00,1982-09-19 00:00:00,Portugal
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/matej-delac/profil/spieler/60220,Matej Delac,Goalkeeper,750000,1992-08-20 00:00:00,Croatia
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/jamal-blackman/profil/spieler/128898,Jamal Blackman,Goalkeeper,250000,1993-10-27 00:00:00,England
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/antonio-rudiger/profil/spieler/86202,Antonio Rüdiger,Centre-Back,40000000.00,1993-03-03 00:00:00,Germany
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/andreas-christensen/profil/spieler/196948,Andreas Christensen,Centre-Back,40000000.00,1996-04-10 00:00:00,Denmark
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/david-luiz/profil/spieler/46741,David Luiz,Centre-Back,25000000.00,1987-04-22 00:00:00,Brazil
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/kurt-zouma/profil/spieler/157509,Kurt Zouma,Centre-Back,15000000.00,1994-10-27 00:00:00,France
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/gary-cahill/profil/spieler/27511,Gary Cahill,Centre-Back,15000000.00,1985-12-19 00:00:00,England
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/tomas-kalas/profil/spieler/148657,Tomas Kalas,Centre-Back,5000000.00,1993-05-15 00:00:00,Czech Republic
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/ethan-ampadu/profil/spieler/392771,Ethan Ampadu,Centre-Back,5000000.00,2000-09-14 00:00:00,Wales
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/michael-hector/profil/spieler/157490,Michael Hector,Centre-Back,3000000.00,1992-07-19 00:00:00,Jamaica
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/fikayo-tomori/profil/spieler/303254,Fikayo Tomori,Centre-Back,1000000.00,1997-12-19 00:00:00,England
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/jake-clarke-salter/profil/spieler/316551,Jake Clarke-Salter,Centre-Back,1000000.00,1997-09-22 00:00:00,England
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/marcos-alonso/profil/spieler/112515,Marcos Alonso,Left-Back,40000000.00,1990-12-28 00:00:00,Spain
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/emerson/profil/spieler/181778,Emerson,Left-Back,20000000.00,1994-08-03 00:00:00,Italy
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/cesar-azpilicueta/profil/spieler/57500,César Azpilicueta,Right-Back,40000000.00,1989-08-28 00:00:00,Spain
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/ola-aina/profil/spieler/236490,Ola Aina,Right-Back,1500000.00,1996-10-08 00:00:00,Nigeria
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/todd-kane/profil/spieler/154287,Todd Kane,Right-Back,1250000.00,1993-09-17 00:00:00,England
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/wallace-oliveira/profil/spieler/181779,Wallace Oliveira,Right-Back,1000000.00,1994-05-01 00:00:00,Brazil
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/dujon-sterling/profil/spieler/346315,Dujon Sterling,Right-Back,-1,1999-10-24 00:00:00,England
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/tiemoue-bakayoko/profil/spieler/182618,Tiemoué Bakayoko,Defensive Midfield,40000000.00,1994-08-17 00:00:00,France
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/trevoh-chalobah/profil/spieler/346314,Trevoh Chalobah,Defensive Midfield,-1,1999-07-05 00:00:00,England
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/ngolo-kante/profil/spieler/225083,N'Golo Kanté,Central Midfield,60000000.00,1991-03-29 00:00:00,France
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/cesc-fabregas/profil/spieler/8806,Cesc Fàbregas,Central Midfield,30000000.00,1987-05-04 00:00:00,Spain
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/ross-barkley/profil/spieler/131978,Ross Barkley,Central Midfield,25000000.00,1993-12-05 00:00:00,England
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/danny-drinkwater/profil/spieler/73491,Danny Drinkwater,Central Midfield,20000000.00,1990-03-05 00:00:00,England
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/ruben-loftus-cheek/profil/spieler/202886,Ruben Loftus-Cheek,Central Midfield,15000000.00,1996-01-23 00:00:00,England
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/marco-van-ginkel/profil/spieler/147034,Marco van Ginkel,Central Midfield,12000000.00,1992-12-01 00:00:00,Netherlands
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/lewis-baker/profil/spieler/198589,Lewis Baker,Central Midfield,5500000.00,1995-04-25 00:00:00,England
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/kyle-scott/profil/spieler/258888,Kyle Scott,Central Midfield,-1,1997-12-22 00:00:00,United States
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/victor-moses/profil/spieler/59866,Victor Moses,Right Midfield,20000000.00,1990-12-12 00:00:00,Nigeria
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/davide-zappacosta/profil/spieler/173859,Davide Zappacosta,Right Midfield,20000000.00,1992-06-11 00:00:00,Italy
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/charly-musonda-jr-/profil/spieler/177862,Charly Musonda Jr.,Attacking Midfield,5000000.00,1996-10-15 00:00:00,Belgium
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/eden-hazard/profil/spieler/50202,Eden Hazard,Left Winger,110000000.00,1991-01-07 00:00:00,Belgium
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/kenedy/profil/spieler/281404,Kenedy,Left Winger,10000000.00,1996-02-08 00:00:00,Brazil
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/jeremie-boga/profil/spieler/216569,Jérémie Boga,Left Winger,2500000.00,1997-01-03 00:00:00,Cote d'Ivoire
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/callum-hudson-odoi/profil/spieler/392768,Callum Hudson-Odoi,Left Winger,-1,2000-11-07 00:00:00,England
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/willian/profil/spieler/52769,Willian,Right Winger,32000000.00,1988-08-09 00:00:00,Brazil
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/pedro/profil/spieler/65278,Pedro,Right Winger,25000000.00,1987-07-28 00:00:00,Spain
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/lucas-piazon/profil/spieler/176485,Lucas Piazon,Right Winger,2500000.00,1994-01-20 00:00:00,Brazil
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/alvaro-morata/profil/spieler/128223,Álvaro Morata,Centre-Forward,65000000.00,1992-10-23 00:00:00,Spain
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/michy-batshuayi/profil/spieler/179184,Michy Batshuayi,Centre-Forward,40000000.00,1993-10-02 00:00:00,Belgium
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/olivier-giroud/profil/spieler/82442,Olivier Giroud,Centre-Forward,18000000.00,1986-09-30 00:00:00,France
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/tammy-abraham/profil/spieler/331726,Tammy Abraham,Centre-Forward,10000000.00,1997-10-02 00:00:00,England
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2017,/david-de-gea/profil/spieler/59377,David de Gea,Goalkeeper,70000000.00,1990-11-07 00:00:00,Spain
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2017,/sergio-romero/profil/spieler/30690,Sergio Romero,Goalkeeper,5000000.00,1987-02-22 00:00:00,Argentina
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2017,/sam-johnstone/profil/spieler/110864,Sam Johnstone,Goalkeeper,2500000.00,1993-03-25 00:00:00,England
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2017,/joel-pereira/profil/spieler/192611,Joel Pereira,Goalkeeper,1000000.00,1996-06-28 00:00:00,Portugal
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2017,/eric-bailly/profil/spieler/286384,Eric Bailly,Centre-Back,35000000.00,1994-04-12 00:00:00,Cote d'Ivoire
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2017,/victor-lindelof/profil/spieler/184573,Victor Lindelöf,Centre-Back,25000000.00,1994-07-17 00:00:00,Sweden
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2017,/phil-jones/profil/spieler/117996,Phil Jones,Centre-Back,20000000.00,1992-02-21 00:00:00,England
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2017,/marcos-rojo/profil/spieler/93176,Marcos Rojo,Centre-Back,18000000.00,1990-03-20 00:00:00,Argentina
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2017,/chris-smalling/profil/spieler/103427,Chris Smalling,Centre-Back,18000000.00,1989-11-22 00:00:00,England
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2017,/daley-blind/profil/spieler/12282,Daley Blind,Centre-Back,18000000.00,1990-03-09 00:00:00,Netherlands
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2017,/axel-tuanzebe/profil/spieler/342046,Axel Tuanzebe,Centre-Back,1000000.00,1997-11-14 00:00:00,England
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2017,/luke-shaw/profil/spieler/183288,Luke Shaw,Left-Back,15000000.00,1995-07-12 00:00:00,England
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2017,/cameron-borthwick-jackson/profil/spieler/258879,Cameron Borthwick-Jackson,Left-Back,3000000.00,1997-02-02 00:00:00,England
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2017,/matteo-darmian/profil/spieler/54906,Matteo Darmian,Right-Back,10000000.00,1989-12-02 00:00:00,Italy
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2017,/antonio-valencia/profil/spieler/33544,Antonio Valencia,Right-Back,8000000.00,1985-08-04 00:00:00,Ecuador
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2017,/timothy-fosu-mensah/profil/spieler/315131,Timothy Fosu-Mensah,Right-Back,7000000.00,1998-01-02 00:00:00,Netherlands
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2017,/nemanja-matic/profil/spieler/74683,Nemanja Matic,Defensive Midfield,40000000.00,1988-08-01 00:00:00,Serbia
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2017,/michael-carrick/profil/spieler/3878,Michael Carrick,Defensive Midfield,1000000.00,1981-07-28 00:00:00,England
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2017,/paul-pogba/profil/spieler/122153,Paul Pogba,Central Midfield,90000000.00,1993-03-15 00:00:00,France
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2017,/ander-herrera/profil/spieler/99343,Ander Herrera,Central Midfield,30000000.00,1989-08-14 00:00:00,Spain
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2017,/marouane-fellaini/profil/spieler/39679,Marouane Fellaini,Central Midfield,12000000.00,1987-11-22 00:00:00,Belgium
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2017,/scott-mctominay/profil/spieler/315969,Scott McTominay,Central Midfield,7000000.00,1996-12-08 00:00:00,Scotland
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2017,/ethan-hamilton/profil/spieler/396286,Ethan Hamilton,Central Midfield,-1,1998-10-18 00:00:00,Scotland
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2017,/ashley-young/profil/spieler/14086,Ashley Young,Left Midfield,7000000.00,1985-07-09 00:00:00,England
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2017,/jesse-lingard/profil/spieler/141660,Jesse Lingard,Attacking Midfield,35000000.00,1992-12-15 00:00:00,England
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2017,/henrikh-mkhitaryan/profil/spieler/55735,Henrikh Mkhitaryan,Attacking Midfield,35000000.00,1989-01-21 00:00:00,Armenia
https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2017,/juan-mata/profil/spieler/44068,Juan Mata,Attacking Midfield,30000000.00,1988-04-28 00:00:00,Spain
