club_reference,href,name_and_surname,position,market_value,date_of_birth,country
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2016,/joe-hart/profil/spieler/40204,Joe Hart,Goalkeeper,13000000.00,1987-04-19 00:00:00,England
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2016,/claudio-bravo/profil/spieler/40423,Claudio Bravo,Goalkeeper,8000000.00,1983-04-13 00:00:00,Chile
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2016,/willy-caballero/profil/spieler/19948,Willy Caballero,Goalkeeper,1500000.00,1981-09-28 00:00:00,Argentina
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2016,/angus-gunn/profil/spieler/201574,Angus Gunn,Goalkeeper,250000,1996-01-22 00:00:00,England
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2016,/john-stones/profil/spieler/186590,John Stones,Centre-Back,35000000.00,1994-05-28 00:00:00,England
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2016,/nicolas-otamendi/profil/spieler/54781,Nicolás Otamendi,Centre-Back,30000000.00,1988-02-12 00:00:00,Argentina
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2016,/vincent-kompany/profil/spieler/9594,Vincent Kompany,Centre-Back,22000000.00,1986-04-10 00:00:00,Belgium
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2016,/eliaquim-mangala/profil/spieler/90681,Eliaquim Mangala,Centre-Back,15000000.00,1991-02-13 00:00:00,France
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2016,/jason-denayer/profil/spieler/277114,Jason Denayer,Centre-Back,4000000.00,1995-06-28 00:00:00,Belgium
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2016,/pablo-mari/profil/spieler/210178,Pablo Marí,Centre-Back,400000,1993-08-31 00:00:00,Spain
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2016,/tosin-adarabioyo/profil/spieler/258878,Tosin Adarabioyo,Centre-Back,250000,1997-09-24 00:00:00,England
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2016,/aleksandar-kolarov/profil/spieler/46156,Aleksandar Kolarov,Left-Back,10000000.00,1985-11-10 00:00:00,Serbia
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2016,/gael-clichy/profil/spieler/7449,Gaël Clichy,Left-Back,7000000.00,1985-07-26 00:00:00,France
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2016,/oleksandr-zinchenko/profil/spieler/203853,Oleksandr Zinchenko,Left-Back,4500000.00,1996-12-15 00:00:00,Ukraine
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2016,/jesus-navas/profil/spieler/15956,Jesús Navas,Right-Back,12000000.00,1985-11-21 00:00:00,Spain
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2016,/pablo-zabaleta/profil/spieler/20007,Pablo Zabaleta,Right-Back,7000000.00,1985-01-16 00:00:00,Argentina
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2016,/bacary-sagna/profil/spieler/26764,Bacary Sagna,Right-Back,4000000.00,1983-02-14 00:00:00,France
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2016,/pablo-maffeo/profil/spieler/251876,Pablo Maffeo,Right-Back,500000,1997-07-12 00:00:00,Spain
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2016,/fernandinho/profil/spieler/26267,Fernandinho,Defensive Midfield,18000000.00,1985-05-04 00:00:00,Brazil
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2016,/fernando-reges/profil/spieler/51174,Fernando Reges,Defensive Midfield,10000000.00,1987-07-25 00:00:00,Brazil
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2016,/bruno-zuculini/profil/spieler/115507,Bruno Zuculini,Defensive Midfield,1200000.00,1993-04-02 00:00:00,Argentina
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2016,/luke-brattan/profil/spieler/114365,Luke Brattan,Defensive Midfield,600000,1990-03-08 00:00:00,Australia
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2016,/ilkay-gundogan/profil/spieler/53622,Ilkay Gündogan,Central Midfield,30000000.00,1990-10-24 00:00:00,Germany
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2016,/fabian-delph/profil/spieler/50362,Fabian Delph,Central Midfield,8000000.00,1989-11-21 00:00:00,England
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2016,/yaya-toure/profil/spieler/13091,Yaya Touré,Central Midfield,8000000.00,1983-05-13 00:00:00,Cote d'Ivoire
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2016,/aaron-mooy/profil/spieler/123951,Aaron Mooy,Central Midfield,5000000.00,1990-09-15 00:00:00,Australia
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2016,/aleix-garcia/profil/spieler/261504,Aleix García,Central Midfield,1000000.00,1997-06-28 00:00:00,Spain
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2016,/phil-foden/profil/spieler/406635,Phil Foden,Central Midfield,-1,2000-05-28 00:00:00,England
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2016,/angelino/profil/spieler/277179,Angeliño,Left Midfield,500000,1997-01-04 00:00:00,Spain
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2016,/kevin-de-bruyne/profil/spieler/88755,Kevin De Bruyne,Attacking Midfield,65000000.00,1991-06-28 00:00:00,Belgium
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2016,/david-silva/profil/spieler/35518,David Silva,Attacking Midfield,30000000.00,1986-01-08 00:00:00,Spain
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2016,/samir-nasri/profil/spieler/18935,Samir Nasri,Attacking Midfield,16000000.00,1987-06-26 00:00:00,France
