club_name,reference,number_of_footballers,total_value
Chelsea FC,/fc-chelsea/startseite/verein/631/saison_id/2015,40,579800000.00
Manchester City,/manchester-city/startseite/verein/281/saison_id/2015,38,452750000.00
Arsenal FC,/fc-arsenal/startseite/verein/11/saison_id/2015,41,408600000.00
Manchester United,/manchester-united/startseite/verein/985/saison_id/2015,44,374150000.00
Liverpool FC,/fc-liverpool/startseite/verein/31/saison_id/2015,44,325000000.00
Tottenham Hotspur,/tottenham-hotspur/startseite/verein/148/saison_id/2015,31,253750000.00
Everton FC,/fc-everton/startseite/verein/29/saison_id/2015,39,204130000.00
Newcastle United,/newcastle-united/startseite/verein/762/saison_id/2015,42,200650000.00
Southampton FC,/fc-southampton/startseite/verein/180/saison_id/2015,35,187500000.00
West Ham United,/west-ham-united/startseite/verein/379/saison_id/2015,50,185200000.00
Swansea City,/swansea-city/startseite/verein/2288/saison_id/2015,36,138200000.00
Sunderland AFC,/afc-sunderland/startseite/verein/289/saison_id/2015,42,128250000.00
Stoke City,/stoke-city/startseite/verein/512/saison_id/2015,31,127250000.00
Crystal Palace,/crystal-palace/startseite/verein/873/saison_id/2015,38,121000000.00
West Bromwich Albion,/west-bromwich-albion/startseite/verein/984/saison_id/2015,35,117000000.00
Aston Villa,/aston-villa/startseite/verein/405/saison_id/2015,44,112300000.00
Watford FC,/fc-watford/startseite/verein/1010/saison_id/2015,39,110130000.00
Norwich City,/norwich-city/startseite/verein/1123/saison_id/2015,41,103750000.00
Leicester City,/leicester-city/startseite/verein/1003/saison_id/2015,35,91250000.00
AFC Bournemouth,/afc-bournemouth/startseite/verein/989/saison_id/2015,49,68030000.00
