club_reference,href,name_and_surname,position,market_value,date_of_birth,country
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,/ederson/profil/spieler/238223,Ederson,Goalkeeper,70000000.00,1993-08-17 00:00:00,Brazil
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,/claudio-bravo/profil/spieler/40423,Claudio Bravo,Goalkeeper,2500000.00,1983-04-13 00:00:00,Chile
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,/arijanet-muric/profil/spieler/371021,Arijanet Muric,Goalkeeper,2000000.00,1998-11-07 00:00:00,Kosovo
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,/daniel-grimshaw/profil/spieler/339253,Daniel Grimshaw,Goalkeeper,-1,1998-01-16 00:00:00,England
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,/aymeric-laporte/profil/spieler/176553,Aymeric Laporte,Centre-Back,75000000.00,1994-05-27 00:00:00,France
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,/john-stones/profil/spieler/186590,John Stones,Centre-Back,60000000.00,1994-05-28 00:00:00,England
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,/nicolas-otamendi/profil/spieler/54781,Nicolás Otamendi,Centre-Back,25000000.00,1988-02-12 00:00:00,Argentina
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,/eliaquim-mangala/profil/spieler/90681,Eliaquim Mangala,Centre-Back,10000000.00,1991-02-13 00:00:00,France
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,/vincent-kompany/profil/spieler/9594,Vincent Kompany,Centre-Back,8000000.00,1986-04-10 00:00:00,Belgium
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,/philippe-sandler/profil/spieler/340460,Philippe Sandler,Centre-Back,2500000.00,1997-02-10 00:00:00,Netherlands
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,/pablo-mari/profil/spieler/210178,Pablo Marí,Centre-Back,800000,1993-08-31 00:00:00,Spain
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,/erik-palmer-brown/profil/spieler/282199,Erik Palmer-Brown,Centre-Back,600000,1997-04-24 00:00:00,United States
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,/eric-garcia/profil/spieler/466794,Eric García,Centre-Back,-1,2001-01-09 00:00:00,Spain
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,/cameron-humphreys/profil/spieler/277723,Cameron Humphreys,Centre-Back,-1,1998-08-22 00:00:00,England
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,/benjamin-mendy/profil/spieler/157495,Benjamin Mendy,Left-Back,35000000.00,1994-07-17 00:00:00,France
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,/oleksandr-zinchenko/profil/spieler/203853,Oleksandr Zinchenko,Left-Back,20000000.00,1996-12-15 00:00:00,Ukraine
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,/adrian-bernabe/profil/spieler/466802,Adrián Bernabé,Left-Back,-1,2001-05-26 00:00:00,Spain
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,/kyle-walker/profil/spieler/95424,Kyle Walker,Right-Back,50000000.00,1990-05-28 00:00:00,England
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,/danilo/profil/spieler/145707,Danilo,Right-Back,20000000.00,1991-07-15 00:00:00,Brazil
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,/fernandinho/profil/spieler/26267,Fernandinho,Defensive Midfield,12000000.00,1985-05-04 00:00:00,Brazil
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,/douglas-luiz/profil/spieler/447661,Douglas Luiz,Defensive Midfield,2500000.00,1998-05-09 00:00:00,Brazil
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,/luke-brattan/profil/spieler/114365,Luke Brattan,Defensive Midfield,500000,1990-03-08 00:00:00,Australia
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,/claudio-gomes/profil/spieler/395239,Claudio Gomes,Defensive Midfield,-1,2000-07-23 00:00:00,France
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,/ilkay-gundogan/profil/spieler/53622,Ilkay Gündogan,Central Midfield,50000000.00,1990-10-24 00:00:00,Germany
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,/phil-foden/profil/spieler/406635,Phil Foden,Central Midfield,25000000.00,2000-05-28 00:00:00,England
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,/fabian-delph/profil/spieler/50362,Fabian Delph,Central Midfield,15000000.00,1989-11-21 00:00:00,England
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,/aleix-garcia/profil/spieler/261504,Aleix García,Central Midfield,3000000.00,1997-06-28 00:00:00,Spain
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,/mix-diskerud/profil/spieler/103559,Mix Diskerud,Central Midfield,1000000.00,1990-10-02 00:00:00,United States
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,/anthony-caceres/profil/spieler/226739,Anthony Cáceres,Central Midfield,350000,1992-09-29 00:00:00,Australia
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,/taylor-richards/profil/spieler/484551,Taylor Richards,Central Midfield,-1,2000-12-04 00:00:00,England
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,/luke-bolton/profil/spieler/382553,Luke Bolton,Right Midfield,-1,1999-10-07 00:00:00,England
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,/kevin-de-bruyne/profil/spieler/88755,Kevin De Bruyne,Attacking Midfield,130000000.00,1991-06-28 00:00:00,Belgium
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,/bernardo-silva/profil/spieler/241641,Bernardo Silva,Attacking Midfield,100000000.00,1994-08-10 00:00:00,Portugal
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,/david-silva/profil/spieler/35518,David Silva,Attacking Midfield,20000000.00,1986-01-08 00:00:00,Spain
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,/brahim-diaz/profil/spieler/314678,Brahim Díaz,Attacking Midfield,17000000.00,1999-08-03 00:00:00,Spain
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,/luka-ilic/profil/spieler/429790,Luka Ilic,Attacking Midfield,1000000.00,1999-07-02 00:00:00,Serbia
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,/felix-nmecha/profil/spieler/406640,Felix Nmecha,Attacking Midfield,-1,2000-10-10 00:00:00,England
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,/raheem-sterling/profil/spieler/134425,Raheem Sterling,Left Winger,140000000.00,1994-12-08 00:00:00,England
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,/jack-harrison/profil/spieler/417346,Jack Harrison,Left Winger,4000000.00,1996-11-20 00:00:00,England
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,/leroy-sane/profil/spieler/192565,Leroy Sané,Right Winger,100000000.00,1996-01-11 00:00:00,Germany
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,/riyad-mahrez/profil/spieler/171424,Riyad Mahrez,Right Winger,60000000.00,1991-02-21 00:00:00,Algeria
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,/patrick-roberts/profil/spieler/225452,Patrick Roberts,Right Winger,5000000.00,1997-02-05 00:00:00,England
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,/marlos-moreno/profil/spieler/345654,Marlos Moreno,Right Winger,700000,1996-09-20 00:00:00,Colombia
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,/ian-poveda/profil/spieler/392763,Ian Poveda,Right Winger,-1,2000-02-09 00:00:00,England
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,/gabriel-jesus/profil/spieler/363205,Gabriel Jesus,Centre-Forward,70000000.00,1997-04-03 00:00:00,Brazil
https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,/sergio-aguero/profil/spieler/26399,Sergio Agüero,Centre-Forward,65000000.00,1988-06-02 00:00:00,Argentina
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2018,/kepa/profil/spieler/192279,Kepa,Goalkeeper,60000000.00,1994-10-03 00:00:00,Spain
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2018,/willy-caballero/profil/spieler/19948,Willy Caballero,Goalkeeper,1000000.00,1981-09-28 00:00:00,Argentina
