club_name,reference,number_of_footballers,total_value
Chelsea FC,/fc-chelsea/startseite/verein/631/saison_id/2017,46,649650000.00
Manchester United,/manchester-united/startseite/verein/985/saison_id/2017,35,645100000.00
Arsenal FC,/fc-arsenal/startseite/verein/11/saison_id/2017,45,633900000.00
Manchester City,/manchester-city/startseite/verein/281/saison_id/2017,32,616350000.00
Tottenham Hotspur,/tottenham-hotspur/startseite/verein/148/saison_id/2017,34,535350000.00
Liverpool FC,/fc-liverpool/startseite/verein/31/saison_id/2017,35,495000000.00
Everton FC,/fc-everton/startseite/verein/29/saison_id/2017,48,346750000.00
West Ham United,/west-ham-united/startseite/verein/379/saison_id/2017,41,264850000.00
Leicester City,/leicester-city/startseite/verein/1003/saison_id/2017,34,252100000.00
Southampton FC,/fc-southampton/startseite/verein/180/saison_id/2017,29,247500000.00
Crystal Palace,/crystal-palace/startseite/verein/873/saison_id/2017,41,194430000.00
Stoke City,/stoke-city/startseite/verein/512/saison_id/2017,35,177800000.00
Swansea City,/swansea-city/startseite/verein/2288/saison_id/2017,36,171340000.00
Watford FC,/fc-watford/startseite/verein/1010/saison_id/2017,37,167300000.00
Newcastle United,/newcastle-united/startseite/verein/762/saison_id/2017,37,167280000.00
West Bromwich Albion,/west-bromwich-albion/startseite/verein/984/saison_id/2017,33,165500000.00
AFC Bournemouth,/afc-bournemouth/startseite/verein/989/saison_id/2017,35,116100000.00
Brighton &amp; Hove Albion,/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2017,39,106750000.00
Burnley FC,/fc-burnley/startseite/verein/1132/saison_id/2017,30,96850000.00
Huddersfield Town,/huddersfield-town/startseite/verein/1110/saison_id/2017,35,64400000.00
