club_name,reference,number_of_footballers,total_value
Manchester City,/manchester-city/startseite/verein/281/saison_id/2018,46,1050000000.00
Chelsea FC,/fc-chelsea/startseite/verein/631/saison_id/2018,54,1050000000.00
Liverpool FC,/fc-liverpool/startseite/verein/31/saison_id/2018,39,900100000.00
Manchester United,/manchester-united/startseite/verein/985/saison_id/2018,36,833000000.00
Tottenham Hotspur,/tottenham-hotspur/startseite/verein/148/saison_id/2018,34,819600000.00
Arsenal FC,/fc-arsenal/startseite/verein/11/saison_id/2018,42,593300000.00
Everton FC,/fc-everton/startseite/verein/29/saison_id/2018,40,429500000.00
Leicester City,/leicester-city/startseite/verein/1003/saison_id/2018,37,329000000.00
West Ham United,/west-ham-united/startseite/verein/379/saison_id/2018,37,309700000.00
Southampton FC,/fc-southampton/startseite/verein/180/saison_id/2018,40,270550000.00
Crystal Palace,/crystal-palace/startseite/verein/873/saison_id/2018,36,262380000.00
Fulham FC,/fc-fulham/startseite/verein/931/saison_id/2018,33,239500000.00
Newcastle United,/newcastle-united/startseite/verein/762/saison_id/2018,37,200000000.00
Burnley FC,/fc-burnley/startseite/verein/1132/saison_id/2018,33,185750000.00
AFC Bournemouth,/afc-bournemouth/startseite/verein/989/saison_id/2018,37,172800000.00
Brighton &amp; Hove Albion,/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2018,41,172650000.00
Watford FC,/fc-watford/startseite/verein/1010/saison_id/2018,39,170400000.00
Wolverhampton Wanderers,/wolverhampton-wanderers/startseite/verein/543/saison_id/2018,40,160430000.00
Huddersfield Town,/huddersfield-town/startseite/verein/1110/saison_id/2018,33,113150000.00
Cardiff City,/cardiff-city/startseite/verein/603/saison_id/2018,35,76000000.00
