club_reference,href,name_and_surname,position,market_value,date_of_birth,country
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/ben-davies/profil/spieler/257097,Ben Davies,Centre-Back,3000000.00,1995-08-11 00:00:00,England
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/andrew-robertson/profil/spieler/234803,Andrew Robertson,Left-Back,70000000.00,1994-03-11 00:00:00,Scotland
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/konstantinos-tsimikas/profil/spieler/338070,Konstantinos Tsimikas,Left-Back,8000000.00,1996-05-12 00:00:00,Greece
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/trent-alexander-arnold/profil/spieler/314353,Trent Alexander-Arnold,Right-Back,100000000.00,1998-10-07 00:00:00,England
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/neco-williams/profil/spieler/503680,Neco Williams,Right-Back,10000000.00,2001-04-13 00:00:00,Wales
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/fabinho/profil/spieler/225693,Fabinho,Defensive Midfield,60000000.00,1993-10-23 00:00:00,Brazil
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/naby-keita/profil/spieler/302215,Naby Keïta,Central Midfield,38000000.00,1995-02-10 00:00:00,Guinea
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/georginio-wijnaldum/profil/spieler/49499,Georginio Wijnaldum,Central Midfield,35000000.00,1990-11-11 00:00:00,Netherlands
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/thiago/profil/spieler/60444,Thiago,Central Midfield,35000000.00,1991-04-11 00:00:00,Spain
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/jordan-henderson/profil/spieler/61651,Jordan Henderson,Central Midfield,22000000.00,1990-06-17 00:00:00,England
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/alex-oxlade-chamberlain/profil/spieler/143424,Alex Oxlade-Chamberlain,Central Midfield,20000000.00,1993-08-15 00:00:00,England
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/james-milner/profil/spieler/3333,James Milner,Central Midfield,3000000.00,1986-01-04 00:00:00,England
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/curtis-jones/profil/spieler/433188,Curtis Jones,Attacking Midfield,30000000.00,2001-01-30 00:00:00,England
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/ben-woodburn/profil/spieler/344015,Ben Woodburn,Attacking Midfield,3000000.00,1999-10-15 00:00:00,Wales
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/sadio-mane/profil/spieler/200512,Sadio Mané,Left Winger,100000000.00,1992-04-10 00:00:00,Senegal
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/diogo-jota/profil/spieler/340950,Diogo Jota,Left Winger,40000000.00,1996-12-04 00:00:00,Portugal
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/mohamed-salah/profil/spieler/148455,Mohamed Salah,Right Winger,110000000.00,1992-06-15 00:00:00,Egypt
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/xherdan-shaqiri/profil/spieler/86792,Xherdan Shaqiri,Right Winger,14000000.00,1991-10-10 00:00:00,Switzerland
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/roberto-firmino/profil/spieler/131789,Roberto Firmino,Centre-Forward,55000000.00,1991-10-02 00:00:00,Brazil
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,/divock-origi/profil/spieler/148368,Divock Origi,Centre-Forward,16000000.00,1995-04-18 00:00:00,Belgium
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2020,/edouard-mendy/profil/spieler/442531,Edouard Mendy,Goalkeeper,25000000.00,1992-03-01 00:00:00,Senegal
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2020,/kepa/profil/spieler/192279,Kepa,Goalkeeper,13000000.00,1994-10-03 00:00:00,Spain
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2020,/willy-caballero/profil/spieler/19948,Willy Caballero,Goalkeeper,300000,1981-09-28 00:00:00,Argentina
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2020,/kurt-zouma/profil/spieler/157509,Kurt Zouma,Centre-Back,32000000.00,1994-10-27 00:00:00,France
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2020,/andreas-christensen/profil/spieler/196948,Andreas Christensen,Centre-Back,28000000.00,1996-04-10 00:00:00,Denmark
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2020,/antonio-rudiger/profil/spieler/86202,Antonio Rüdiger,Centre-Back,25000000.00,1993-03-03 00:00:00,Germany
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2020,/thiago-silva/profil/spieler/29241,Thiago Silva,Centre-Back,3500000.00,1984-09-22 00:00:00,Brazil
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2020,/ben-chilwell/profil/spieler/316125,Ben Chilwell,Left-Back,50000000.00,1996-12-21 00:00:00,England
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2020,/emerson/profil/spieler/181778,Emerson,Left-Back,15000000.00,1994-08-03 00:00:00,Italy
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2020,/marcos-alonso/profil/spieler/112515,Marcos Alonso,Left-Back,13000000.00,1990-12-28 00:00:00,Spain
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2020,/reece-james/profil/spieler/472423,Reece James,Right-Back,40000000.00,1999-12-08 00:00:00,England
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2020,/cesar-azpilicueta/profil/spieler/57500,César Azpilicueta,Right-Back,17000000.00,1989-08-28 00:00:00,Spain
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2020,/jorginho/profil/spieler/102017,Jorginho,Defensive Midfield,45000000.00,1991-12-20 00:00:00,Italy
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2020,/ngolo-kante/profil/spieler/225083,N'Golo Kanté,Central Midfield,55000000.00,1991-03-29 00:00:00,France
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2020,/mateo-kovacic/profil/spieler/51471,Mateo Kovacic,Central Midfield,45000000.00,1994-05-06 00:00:00,Croatia
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2020,/billy-gilmour/profil/spieler/423744,Billy Gilmour,Central Midfield,7000000.00,2001-06-11 00:00:00,Scotland
https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2020,/kai-havertz/profil/spieler/309400,Kai Havertz,Attacking Midfield,70000000.00,1999-06-11 00:00:00,Germany
