,club_name,reference,number_of_footballers,total_value
0,Manchester City,/manchester-city/startseite/verein/281/saison_id/2019,34,€1.27bn
1,Liverpool FC,/fc-liverpool/startseite/verein/31/saison_id/2019,56,€1.09bn
2,Tottenham Hotspur,/tottenham-hotspur/startseite/verein/148/saison_id/2019,36,€1.04bn
3,Chelsea FC,/fc-chelsea/startseite/verein/631/saison_id/2019,36,€797.00m
4,Manchester United,/manchester-united/startseite/verein/985/saison_id/2019,43,€775.20m
5,Arsenal FC,/fc-arsenal/startseite/verein/11/saison_id/2019,38,€680.55m
6,Everton FC,/fc-everton/startseite/verein/29/saison_id/2019,35,€525.50m
7,Leicester City,/leicester-city/startseite/verein/1003/saison_id/2019,32,€384.75m
8,West Ham United,/west-ham-united/startseite/verein/379/saison_id/2019,38,€371.75m
9,Wolverhampton Wanderers,/wolverhampton-wanderers/startseite/verein/543/saison_id/2019,44,€315.40m
10,Newcastle United,/newcastle-united/startseite/verein/762/saison_id/2019,41,€312.58m
11,AFC Bournemouth,/afc-bournemouth/startseite/verein/989/saison_id/2019,39,€311.20m
12,Watford FC,/fc-watford/startseite/verein/1010/saison_id/2019,43,€270.65m
13,Southampton FC,/fc-southampton/startseite/verein/180/saison_id/2019,36,€259.80m
14,Crystal Palace,/crystal-palace/startseite/verein/873/saison_id/2019,33,€248.65m
15,Brighton &amp; Hove Albion,/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2019,45,€225.83m
16,Burnley FC,/fc-burnley/startseite/verein/1132/saison_id/2019,35,€205.58m
17,Aston Villa,/aston-villa/startseite/verein/405/saison_id/2019,38,€184.60m
18,Norwich City,/norwich-city/startseite/verein/1123/saison_id/2019,38,€110.85m
19,Sheffield United,/sheffield-united/startseite/verein/350/saison_id/2019,34,€110.80m
