,club_name,reference,number_of_footballers,total_value
0,Chelsea FC,/fc-chelsea/startseite/verein/631/saison_id/2015,40,€579.80m
1,Manchester City,/manchester-city/startseite/verein/281/saison_id/2015,38,€452.75m
2,Arsenal FC,/fc-arsenal/startseite/verein/11/saison_id/2015,41,€408.60m
3,Manchester United,/manchester-united/startseite/verein/985/saison_id/2015,44,€374.15m
4,Liverpool FC,/fc-liverpool/startseite/verein/31/saison_id/2015,44,€325.00m
5,Tottenham Hotspur,/tottenham-hotspur/startseite/verein/148/saison_id/2015,31,€253.75m
6,Everton FC,/fc-everton/startseite/verein/29/saison_id/2015,39,€204.13m
7,Newcastle United,/newcastle-united/startseite/verein/762/saison_id/2015,42,€200.65m
8,Southampton FC,/fc-southampton/startseite/verein/180/saison_id/2015,35,€187.50m
9,West Ham United,/west-ham-united/startseite/verein/379/saison_id/2015,50,€185.20m
10,Swansea City,/swansea-city/startseite/verein/2288/saison_id/2015,36,€138.20m
11,Sunderland AFC,/afc-sunderland/startseite/verein/289/saison_id/2015,42,€128.25m
12,Stoke City,/stoke-city/startseite/verein/512/saison_id/2015,31,€127.25m
13,Crystal Palace,/crystal-palace/startseite/verein/873/saison_id/2015,38,€121.00m
14,West Bromwich Albion,/west-bromwich-albion/startseite/verein/984/saison_id/2015,35,€117.00m
15,Aston Villa,/aston-villa/startseite/verein/405/saison_id/2015,44,€112.30m
16,Watford FC,/fc-watford/startseite/verein/1010/saison_id/2015,39,€110.13m
17,Norwich City,/norwich-city/startseite/verein/1123/saison_id/2015,41,€103.75m
18,Leicester City,/leicester-city/startseite/verein/1003/saison_id/2015,35,€91.25m
19,AFC Bournemouth,/afc-bournemouth/startseite/verein/989/saison_id/2015,49,€68.03m
