162,https://www.transfermarkt.com/asmir-begovic/profil/spieler/33873,100000,AA La Louviere,"Dec 11, 2005"
228,https://www.transfermarkt.com/brian-lenihan/profil/spieler/241916,100000,Hull City,"Apr 20, 2016"
229,https://www.transfermarkt.com/brian-lenihan/profil/spieler/241916,100000,Hull City,"Aug 1, 2016"
230,https://www.transfermarkt.com/brian-lenihan/profil/spieler/241916,100000,Hull City,"Feb 20, 2017"
231,https://www.transfermarkt.com/brian-lenihan/profil/spieler/241916,100000,Hull City,"Sep 18, 2017"
302,https://www.transfermarkt.com/conor-hourihane/profil/spieler/61653,100000,Ipswich Town,"Oct 24, 2010"
348,https://www.transfermarkt.com/davy-klaassen/profil/spieler/182932,100000,Ajax Amsterdam U19,"Nov 28, 2011"
462,https://www.transfermarkt.com/erik-palmer-brown/profil/spieler/282199,100000,Sporting Kansas City,"Mar 1, 2015"
464,https://www.transfermarkt.com/erik-palmer-brown/profil/spieler/282199,100000,FC Porto B,"Sep 30, 2016"
465,https://www.transfermarkt.com/erik-palmer-brown/profil/spieler/282199,100000,Swope Park Rangers,"Jul 17, 2017"
475,https://www.transfermarkt.com/etienne-capoue/profil/spieler/63494,100000,FC Toulouse,"Dec 11, 2007"
509,https://www.transfermarkt.com/florent-hadergjonaj/profil/spieler/238809,100000,BSC Young Boys,"Feb 14, 2014"
532,https://www.transfermarkt.com/francis-coquelin/profil/spieler/74869,100000,Arsenal FC Reserves,"Mar 29, 2010"
581,https://www.transfermarkt.com/glenn-whelan/profil/spieler/12124,100000,Sheffield Wednesday,"Oct 7, 2004"
674,https://www.transfermarkt.com/jerome-sinclair/profil/spieler/236513,100000,Wigan Athletic,"Mar 16, 2015"
707,https://www.transfermarkt.com/joel-pereira/profil/spieler/192611,100000,Belenenses SAD,"Oct 31, 2016"
747,https://www.transfermarkt.com/jonas-lossl/profil/spieler/48870,100000,FC Midtjylland,"Dec 16, 2008"
775,https://www.transfermarkt.com/jordan-green/profil/spieler/416622,100000,Barnsley FC,"Oct 17, 2019"
776,https://www.transfermarkt.com/jordan-green/profil/spieler/416622,100000,Barnsley FC,"Dec 22, 2020"
779,https://www.transfermarkt.com/jordan-rhodes/profil/spieler/48950,100000,Ipswich Town,"Aug 20, 2008"
856,https://www.transfermarkt.com/jurgen-locadia/profil/spieler/166240,100000,PSV Eindhoven U21,"Sep 29, 2011"
1020,https://www.transfermarkt.com/marc-navarro/profil/spieler/335245,100000,RCD Espanyol B,"Aug 1, 2016"
1041,https://www.transfermarkt.com/marko-arnautovic/profil/spieler/41384,100000,FC Twente Enschede U19,"Sep 17, 2006"
1105,https://www.transfermarkt.com/matija-sarkic/profil/spieler/293257,100000,Wigan Athletic,"Oct 24, 2017"
1106,https://www.transfermarkt.com/matija-sarkic/profil/spieler/293257,100000,Livingston FC,"Aug 20, 2019"
