,club_name,reference,number_of_footballers,total_value
0,Manchester City,/manchester-city/startseite/verein/281/saison_id/2016,44,€621.40m
1,Chelsea FC,/fc-chelsea/startseite/verein/631/saison_id/2016,49,€603.30m
2,Manchester United,/manchester-united/startseite/verein/985/saison_id/2016,42,€533.25m
3,Arsenal FC,/fc-arsenal/startseite/verein/11/saison_id/2016,42,€522.75m
4,Liverpool FC,/fc-liverpool/startseite/verein/31/saison_id/2016,38,€394.15m
5,Tottenham Hotspur,/tottenham-hotspur/startseite/verein/148/saison_id/2016,38,€385.50m
6,Everton FC,/fc-everton/startseite/verein/29/saison_id/2016,39,€284.35m
7,West Ham United,/west-ham-united/startseite/verein/379/saison_id/2016,44,€240.78m
8,Crystal Palace,/crystal-palace/startseite/verein/873/saison_id/2016,45,€215.70m
9,Southampton FC,/fc-southampton/startseite/verein/180/saison_id/2016,36,€214.25m
10,Stoke City,/stoke-city/startseite/verein/512/saison_id/2016,34,€193.25m
11,Watford FC,/fc-watford/startseite/verein/1010/saison_id/2016,46,€189.35m
12,Leicester City,/leicester-city/startseite/verein/1003/saison_id/2016,31,€175.00m
13,Swansea City,/swansea-city/startseite/verein/2288/saison_id/2016,37,€137.10m
14,Hull City,/hull-city/startseite/verein/3008/saison_id/2016,42,€132.95m
15,Middlesbrough FC,/fc-middlesbrough/startseite/verein/641/saison_id/2016,35,€121.75m
16,West Bromwich Albion,/west-bromwich-albion/startseite/verein/984/saison_id/2016,30,€115.10m
17,Sunderland AFC,/afc-sunderland/startseite/verein/289/saison_id/2016,42,€112.50m
18,AFC Bournemouth,/afc-bournemouth/startseite/verein/989/saison_id/2016,41,€103.50m
19,Burnley FC,/fc-burnley/startseite/verein/1132/saison_id/2016,36,€81.80m
