,club_name,reference,number_of_footballers,total_value
0,Manchester City,/manchester-city/startseite/verein/281/saison_id/2018,46,€1.05bn
1,Chelsea FC,/fc-chelsea/startseite/verein/631/saison_id/2018,54,€1.05bn
2,Liverpool FC,/fc-liverpool/startseite/verein/31/saison_id/2018,39,€900.10m
3,Manchester United,/manchester-united/startseite/verein/985/saison_id/2018,36,€833.00m
4,Tottenham Hotspur,/tottenham-hotspur/startseite/verein/148/saison_id/2018,34,€819.60m
5,Arsenal FC,/fc-arsenal/startseite/verein/11/saison_id/2018,42,€593.30m
6,Everton FC,/fc-everton/startseite/verein/29/saison_id/2018,40,€429.50m
7,Leicester City,/leicester-city/startseite/verein/1003/saison_id/2018,37,€329.00m
8,West Ham United,/west-ham-united/startseite/verein/379/saison_id/2018,37,€309.70m
9,Southampton FC,/fc-southampton/startseite/verein/180/saison_id/2018,40,€270.55m
10,Crystal Palace,/crystal-palace/startseite/verein/873/saison_id/2018,36,€262.38m
11,Fulham FC,/fc-fulham/startseite/verein/931/saison_id/2018,33,€239.50m
12,Newcastle United,/newcastle-united/startseite/verein/762/saison_id/2018,37,€200.00m
13,Burnley FC,/fc-burnley/startseite/verein/1132/saison_id/2018,33,€185.75m
14,AFC Bournemouth,/afc-bournemouth/startseite/verein/989/saison_id/2018,37,€172.80m
15,Brighton &amp; Hove Albion,/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2018,41,€172.65m
16,Watford FC,/fc-watford/startseite/verein/1010/saison_id/2018,39,€170.40m
17,Wolverhampton Wanderers,/wolverhampton-wanderers/startseite/verein/543/saison_id/2018,40,€160.43m
18,Huddersfield Town,/huddersfield-town/startseite/verein/1110/saison_id/2018,33,€113.15m
19,Cardiff City,/cardiff-city/startseite/verein/603/saison_id/2018,35,€76.00m
