,club_reference,href,name_and_surname,position,market_value,date_of_birth,country
0,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/thibaut-courtois/profil/spieler/108390,Thibaut Courtois,Goalkeeper,€60.00m ,"May 11, 1992 (25)",Belgium
1,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/willy-caballero/profil/spieler/19948,Willy Caballero,Goalkeeper,€1.00m ,"Sep 28, 1981 (35)",Argentina
2,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/eduardo/profil/spieler/34159,Eduardo,Goalkeeper,€1.00m ,"Sep 19, 1982 (34)",Portugal
3,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/matej-delac/profil/spieler/60220,Matej Delac,Goalkeeper,€750Th. ,"Aug 20, 1992 (24)",Croatia
4,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/jamal-blackman/profil/spieler/128898,Jamal Blackman,Goalkeeper,€250Th. ,"Oct 27, 1993 (23)",England
5,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/antonio-rudiger/profil/spieler/86202,Antonio Rüdiger,Centre-Back,€40.00m ,"Mar 3, 1993 (24)",Germany
6,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/andreas-christensen/profil/spieler/196948,Andreas Christensen,Centre-Back,€40.00m ,"Apr 10, 1996 (21)",Denmark
7,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/david-luiz/profil/spieler/46741,David Luiz,Centre-Back,€25.00m ,"Apr 22, 1987 (30)",Brazil
8,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/kurt-zouma/profil/spieler/157509,Kurt Zouma,Centre-Back,€15.00m ,"Oct 27, 1994 (22)",France
9,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/gary-cahill/profil/spieler/27511,Gary Cahill,Centre-Back,€15.00m ,"Dec 19, 1985 (31)",England
10,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/tomas-kalas/profil/spieler/148657,Tomas Kalas,Centre-Back,€5.00m ,"May 15, 1993 (24)",Czech Republic
11,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/ethan-ampadu/profil/spieler/392771,Ethan Ampadu,Centre-Back,€5.00m ,"Sep 14, 2000 (16)",Wales
12,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/michael-hector/profil/spieler/157490,Michael Hector,Centre-Back,€3.00m ,"Jul 19, 1992 (24)",Jamaica
13,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2017,/fikayo-tomori/profil/spieler/303254,Fikayo Tomori,Centre-Back,€1.00m ,"Dec 19, 1997 (19)",England
