,club_reference,href,name_and_surname,position,market_value,date_of_birth,country
0,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2019,/ederson/profil/spieler/238223,Ederson,Goalkeeper,€56.00m ,"Aug 17, 1993 (25)",Brazil
1,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2019,/arijanet-muric/profil/spieler/371021,Arijanet Muric,Goalkeeper,€1.80m ,"Nov 7, 1998 (20)",Kosovo
2,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2019,/claudio-bravo/profil/spieler/40423,Claudio Bravo,Goalkeeper,€1.20m ,"Apr 13, 1983 (36)",Chile
3,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2019,/scott-carson/profil/spieler/14555,Scott Carson,Goalkeeper,€800Th. ,"Sep 3, 1985 (33)",England
4,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2019,/aymeric-laporte/profil/spieler/176553,Aymeric Laporte,Centre-Back,€60.00m ,"May 27, 1994 (25)",France
5,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2019,/john-stones/profil/spieler/186590,John Stones,Centre-Back,€36.00m ,"May 28, 1994 (25)",England
6,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2019,/nicolas-otamendi/profil/spieler/54781,Nicolás Otamendi,Centre-Back,€14.50m ,"Feb 12, 1988 (31)",Argentina
7,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2019,/eric-garcia/profil/spieler/466794,Eric García,Centre-Back,€6.30m ,"Jan 9, 2001 (18)",Spain
8,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2019,/tosin-adarabioyo/profil/spieler/258878,Tosin Adarabioyo,Centre-Back,€2.80m ,"Sep 24, 1997 (21)",England
9,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2019,/taylor-harwood-bellis/profil/spieler/503977,Taylor Harwood-Bellis,Centre-Back,€2.30m ,"Jan 30, 2002 (17)",England
10,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2019,/benjamin-mendy/profil/spieler/157495,Benjamin Mendy,Left-Back,€28.00m ,"Jul 17, 1994 (24)",France
11,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2019,/oleksandr-zinchenko/profil/spieler/203853,Oleksandr Zinchenko,Left-Back,€24.00m ,"Dec 15, 1996 (22)",Ukraine
12,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2019,/adrian-bernabe/profil/spieler/466802,Adrián Bernabé,Left-Back,€2.30m ,"May 26, 2001 (18)",Spain
13,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2019,/kyle-walker/profil/spieler/95424,Kyle Walker,Right-Back,€40.00m ,"May 28, 1990 (29)",England
14,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2019,/joao-cancelo/profil/spieler/182712,João Cancelo,Right-Back,€36.00m ,"May 27, 1994 (25)",Portugal
15,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2019,/alpha-dionkou/profil/spieler/554175,Alpha Dionkou,Right-Back,€250Th. ,"Oct 10, 2001 (17)",Senegal
16,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2019,/rodri/profil/spieler/357565,Rodri,Defensive Midfield,€64.00m ,"Jun 22, 1996 (23)",Spain
17,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2019,/fernandinho/profil/spieler/26267,Fernandinho,Defensive Midfield,€8.00m ,"May 4, 1985 (34)",Brazil
18,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2019,/ilkay-gundogan/profil/spieler/53622,Ilkay Gündogan,Central Midfield,€40.00m ,"Oct 24, 1990 (28)",Germany
19,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2019,/phil-foden/profil/spieler/406635,Phil Foden,Central Midfield,€27.00m ,"May 28, 2000 (19)",England
20,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2019,/tommy-doyle/profil/spieler/433183,Tommy Doyle,Central Midfield, ,"Oct 17, 2001 (17)",England
21,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2019,/angelino/profil/spieler/277179,Angeliño,Left Midfield,€17.50m ,"Jan 4, 1997 (22)",Spain
22,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2019,/kevin-de-bruyne/profil/spieler/88755,Kevin De Bruyne,Attacking Midfield,€120.00m ,"Jun 28, 1991 (28)",Belgium
23,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2019,/bernardo-silva/profil/spieler/241641,Bernardo Silva,Attacking Midfield,€80.00m ,"Aug 10, 1994 (24)",Portugal
24,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2019,/david-silva/profil/spieler/35518,David Silva,Attacking Midfield,€12.00m ,"Jan 8, 1986 (33)",Spain
25,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2019,/ryotaro-meshino/profil/spieler/426666,Ryotaro Meshino,Attacking Midfield,€450Th. ,"Jun 18, 1998 (21)",Japan
26,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2019,/cole-palmer/profil/spieler/568177,Cole Palmer,Attacking Midfield, ,"May 6, 2002 (17)",England
27,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2019,/raheem-sterling/profil/spieler/134425,Raheem Sterling,Left Winger,€128.00m ,"Dec 8, 1994 (24)",England
28,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2019,/leroy-sane/profil/spieler/192565,Leroy Sané,Right Winger,€80.00m ,"Jan 11, 1996 (23)",Germany
29,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2019,/riyad-mahrez/profil/spieler/171424,Riyad Mahrez,Right Winger,€48.00m ,"Feb 21, 1991 (28)",Algeria
30,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2019,/patrick-roberts/profil/spieler/225452,Patrick Roberts,Right Winger,€2.80m ,"Feb 5, 1997 (22)",England
31,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2019,/ian-poveda/profil/spieler/392763,Ian Poveda,Right Winger,€675Th. ,"Feb 9, 2000 (19)",England
32,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2019,/gabriel-jesus/profil/spieler/363205,Gabriel Jesus,Centre-Forward,€56.00m ,"Apr 3, 1997 (22)",Brazil
33,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2019,/sergio-aguero/profil/spieler/26399,Sergio Agüero,Centre-Forward,€52.00m ,"Jun 2, 1988 (31)",Argentina
34,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2019,/alisson/profil/spieler/105470,Alisson,Goalkeeper,€72.00m ,"Oct 2, 1992 (26)",Brazil
35,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2019,/simon-mignolet/profil/spieler/50219,Simon Mignolet,Goalkeeper,€8.00m ,"Mar 6, 1988 (31)",Belgium
36,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2019,/adrian/profil/spieler/71271,Adrián,Goalkeeper,€4.00m ,"Jan 3, 1987 (32)",Spain
37,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2019,/loris-karius/profil/spieler/85864,Loris Karius,Goalkeeper,€3.20m ,"Jun 22, 1993 (26)",Germany
38,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2019,/caoimhin-kelleher/profil/spieler/340918,Caoimhin Kelleher,Goalkeeper,€900Th. ,"Nov 23, 1998 (20)",Ireland
39,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2019,/andy-lonergan/profil/spieler/14044,Andy Lonergan,Goalkeeper,€250Th. ,"Oct 19, 1983 (35)",England
40,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2019,/vitezslav-jaros/profil/spieler/486604,Vitezslav Jaros,Goalkeeper, ,"Jul 23, 2001 (17)",Czech Republic
41,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2019,/ben-winterbottom/profil/spieler/505046,Ben Winterbottom,Goalkeeper, ,"Jul 16, 2001 (17)",England
42,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2019,/virgil-van-dijk/profil/spieler/139208,Virgil van Dijk,Centre-Back,€80.00m ,"Jul 8, 1991 (27)",Netherlands
43,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2019,/joe-gomez/profil/spieler/256178,Joe Gomez,Centre-Back,€33.50m ,"May 23, 1997 (22)",England
44,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2019,/joel-matip/profil/spieler/82105,Joel Matip,Centre-Back,€32.00m ,"Aug 8, 1991 (27)",Cameroon
