,club_reference,href,name_and_surname,position,market_value,date_of_birth,country
0,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2016,/joe-hart/profil/spieler/40204,Joe Hart,Goalkeeper,€13.00m ,"Apr 19, 1987 (29)",England
1,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2016,/claudio-bravo/profil/spieler/40423,Claudio Bravo,Goalkeeper,€8.00m ,"Apr 13, 1983 (33)",Chile
2,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2016,/willy-caballero/profil/spieler/19948,Willy Caballero,Goalkeeper,€1.50m ,"Sep 28, 1981 (34)",Argentina
3,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2016,/angus-gunn/profil/spieler/201574,Angus Gunn,Goalkeeper,€250Th. ,"Jan 22, 1996 (20)",England
4,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2016,/john-stones/profil/spieler/186590,John Stones,Centre-Back,€35.00m ,"May 28, 1994 (22)",England
5,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2016,/nicolas-otamendi/profil/spieler/54781,Nicolás Otamendi,Centre-Back,€30.00m ,"Feb 12, 1988 (28)",Argentina
6,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2016,/vincent-kompany/profil/spieler/9594,Vincent Kompany,Centre-Back,€22.00m ,"Apr 10, 1986 (30)",Belgium
7,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2016,/eliaquim-mangala/profil/spieler/90681,Eliaquim Mangala,Centre-Back,€15.00m ,"Feb 13, 1991 (25)",France
8,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2016,/jason-denayer/profil/spieler/277114,Jason Denayer,Centre-Back,€4.00m ,"Jun 28, 1995 (21)",Belgium
9,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2016,/pablo-mari/profil/spieler/210178,Pablo Marí,Centre-Back,€400Th. ,"Aug 31, 1993 (22)",Spain
10,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2016,/tosin-adarabioyo/profil/spieler/258878,Tosin Adarabioyo,Centre-Back,€250Th. ,"Sep 24, 1997 (18)",England
11,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2016,/aleksandar-kolarov/profil/spieler/46156,Aleksandar Kolarov,Left-Back,€10.00m ,"Nov 10, 1985 (30)",Serbia
12,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2016,/gael-clichy/profil/spieler/7449,Gaël Clichy,Left-Back,€7.00m ,"Jul 26, 1985 (30)",France
13,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2016,/oleksandr-zinchenko/profil/spieler/203853,Oleksandr Zinchenko,Left-Back,€4.50m ,"Dec 15, 1996 (19)",Ukraine
14,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2016,/jesus-navas/profil/spieler/15956,Jesús Navas,Right-Back,€12.00m ,"Nov 21, 1985 (30)",Spain
15,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2016,/pablo-zabaleta/profil/spieler/20007,Pablo Zabaleta,Right-Back,€7.00m ,"Jan 16, 1985 (31)",Argentina
16,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2016,/bacary-sagna/profil/spieler/26764,Bacary Sagna,Right-Back,€4.00m ,"Feb 14, 1983 (33)",France
17,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2016,/pablo-maffeo/profil/spieler/251876,Pablo Maffeo,Right-Back,€500Th. ,"Jul 12, 1997 (18)",Spain
18,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2016,/fernandinho/profil/spieler/26267,Fernandinho,Defensive Midfield,€18.00m ,"May 4, 1985 (31)",Brazil
19,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2016,/fernando-reges/profil/spieler/51174,Fernando Reges,Defensive Midfield,€10.00m ,"Jul 25, 1987 (28)",Brazil
20,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2016,/bruno-zuculini/profil/spieler/115507,Bruno Zuculini,Defensive Midfield,€1.20m ,"Apr 2, 1993 (23)",Argentina
21,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2016,/luke-brattan/profil/spieler/114365,Luke Brattan,Defensive Midfield,€600Th. ,"Mar 8, 1990 (26)",Australia
22,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2016,/ilkay-gundogan/profil/spieler/53622,Ilkay Gündogan,Central Midfield,€30.00m ,"Oct 24, 1990 (25)",Germany
