,club_name,reference,number_of_footballers,total_value
0,Chelsea FC,/fc-chelsea/startseite/verein/631/saison_id/2017,46,€649.65m
1,Manchester United,/manchester-united/startseite/verein/985/saison_id/2017,35,€645.10m
2,Arsenal FC,/fc-arsenal/startseite/verein/11/saison_id/2017,45,€633.90m
3,Manchester City,/manchester-city/startseite/verein/281/saison_id/2017,32,€616.35m
4,Tottenham Hotspur,/tottenham-hotspur/startseite/verein/148/saison_id/2017,34,€535.35m
5,Liverpool FC,/fc-liverpool/startseite/verein/31/saison_id/2017,35,€495.00m
6,Everton FC,/fc-everton/startseite/verein/29/saison_id/2017,48,€346.75m
7,West Ham United,/west-ham-united/startseite/verein/379/saison_id/2017,41,€264.85m
8,Leicester City,/leicester-city/startseite/verein/1003/saison_id/2017,34,€252.10m
9,Southampton FC,/fc-southampton/startseite/verein/180/saison_id/2017,29,€247.50m
10,Crystal Palace,/crystal-palace/startseite/verein/873/saison_id/2017,41,€194.43m
11,Stoke City,/stoke-city/startseite/verein/512/saison_id/2017,35,€177.80m
12,Swansea City,/swansea-city/startseite/verein/2288/saison_id/2017,36,€171.34m
13,Watford FC,/fc-watford/startseite/verein/1010/saison_id/2017,37,€167.30m
14,Newcastle United,/newcastle-united/startseite/verein/762/saison_id/2017,37,€167.28m
15,West Bromwich Albion,/west-bromwich-albion/startseite/verein/984/saison_id/2017,33,€165.50m
16,AFC Bournemouth,/afc-bournemouth/startseite/verein/989/saison_id/2017,35,€116.10m
17,Brighton &amp; Hove Albion,/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2017,39,€106.75m
18,Burnley FC,/fc-burnley/startseite/verein/1132/saison_id/2017,30,€96.85m
19,Huddersfield Town,/huddersfield-town/startseite/verein/1110/saison_id/2017,35,€64.40m
