,club_reference,href,name_and_surname,position,market_value,date_of_birth,country
0,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,/ederson/profil/spieler/238223,Ederson,Goalkeeper,€70.00m ,"Aug 17, 1993 (24)",Brazil
1,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,/claudio-bravo/profil/spieler/40423,Claudio Bravo,Goalkeeper,€2.50m ,"Apr 13, 1983 (35)",Chile
2,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,/arijanet-muric/profil/spieler/371021,Arijanet Muric,Goalkeeper,€2.00m ,"Nov 7, 1998 (19)",Kosovo
3,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,/daniel-grimshaw/profil/spieler/339253,Daniel Grimshaw,Goalkeeper, ,"Jan 16, 1998 (20)",England
4,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,/aymeric-laporte/profil/spieler/176553,Aymeric Laporte,Centre-Back,€75.00m ,"May 27, 1994 (24)",France
5,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,/john-stones/profil/spieler/186590,John Stones,Centre-Back,€60.00m ,"May 28, 1994 (24)",England
6,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,/nicolas-otamendi/profil/spieler/54781,Nicolás Otamendi,Centre-Back,€25.00m ,"Feb 12, 1988 (30)",Argentina
7,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,/eliaquim-mangala/profil/spieler/90681,Eliaquim Mangala,Centre-Back,€10.00m ,"Feb 13, 1991 (27)",France
8,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,/vincent-kompany/profil/spieler/9594,Vincent Kompany,Centre-Back,€8.00m ,"Apr 10, 1986 (32)",Belgium
9,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,/philippe-sandler/profil/spieler/340460,Philippe Sandler,Centre-Back,€2.50m ,"Feb 10, 1997 (21)",Netherlands
10,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,/pablo-mari/profil/spieler/210178,Pablo Marí,Centre-Back,€800Th. ,"Aug 31, 1993 (24)",Spain
11,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,/erik-palmer-brown/profil/spieler/282199,Erik Palmer-Brown,Centre-Back,€600Th. ,"Apr 24, 1997 (21)",United States
