,club_reference,href,name_and_surname,position,market_value,date_of_birth,country
31,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2015,/pedro/profil/spieler/65278,Pedro,Right Winger,€23.00m ,"Jul 28, 1987 (27)",Spain
32,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2015,/bertrand-traore/profil/spieler/131996,Bertrand Traoré,Right Winger,€4.00m ,"Sep 6, 1995 (19)",Burkina Faso
33,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2015,/lucas-piazon/profil/spieler/176485,Lucas Piazon,Right Winger,€3.00m ,"Jan 20, 1994 (21)",Brazil
34,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2015,/diego-costa/profil/spieler/44779,Diego Costa,Centre-Forward,€45.00m ,"Oct 7, 1988 (26)",Spain
35,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2015,/falcao/profil/spieler/39152,Falcao,Centre-Forward,€23.00m ,"Feb 10, 1986 (29)",Colombia
36,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2015,/alexandre-pato/profil/spieler/37579,Alexandre Pato,Centre-Forward,€11.00m ,"Sep 2, 1989 (25)",Brazil
37,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2015,/loic-remy/profil/spieler/45121,Loïc Rémy,Centre-Forward,€10.00m ,"Jan 2, 1987 (28)",France
38,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2015,/patrick-bamford/profil/spieler/183334,Patrick Bamford,Centre-Forward,€5.00m ,"Sep 5, 1993 (21)",England
39,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2015,/tammy-abraham/profil/spieler/331726,Tammy Abraham,Centre-Forward, ,"Oct 2, 1997 (17)",England
40,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2015,/joe-hart/profil/spieler/40204,Joe Hart,Goalkeeper,€17.00m ,"Apr 19, 1987 (28)",England
41,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2015,/willy-caballero/profil/spieler/19948,Willy Caballero,Goalkeeper,€3.00m ,"Sep 28, 1981 (33)",Argentina
42,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2015,/richard-wright/profil/spieler/3120,Richard Wright,Goalkeeper,€250Th. ,"Nov 5, 1977 (37)",England
43,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2015,/nicolas-otamendi/profil/spieler/54781,Nicolás Otamendi,Centre-Back,€32.00m ,"Feb 12, 1988 (27)",Argentina
44,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2015,/vincent-kompany/profil/spieler/9594,Vincent Kompany,Centre-Back,€30.00m ,"Apr 10, 1986 (29)",Belgium
45,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2015,/eliaquim-mangala/profil/spieler/90681,Eliaquim Mangala,Centre-Back,€23.00m ,"Feb 13, 1991 (24)",France
46,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2015,/jason-denayer/profil/spieler/277114,Jason Denayer,Centre-Back,€4.00m ,"Jun 28, 1995 (20)",Belgium
47,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2015,/martin-demichelis/profil/spieler/2963,Martín Demichelis,Centre-Back,€2.00m ,"Dec 20, 1980 (34)",Argentina
